loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.77	3.82	1.82	4.04	1.36	1.56	.02	1.15	3.03	2.11
	1	.69	3.72	1.66	3.92	1.17	1.40	.12	1.02	2.95	2.25
	2	.63	3.60	1.48	3.80	1.00	1.24	.31	.90	2.83	2.59
	3	.61	3.47	1.31	3.68	.83	1.08	.60	.78	2.69	2.99
	4	.61	3.33	1.14	3.56	.67	.91	.98	.67	2.50	3.38
	5	.66	3.19	.98	3.43	.53	.76	1.40	.57	2.37	3.14
	6	.74	3.03	.82	3.30	.42	.61	1.86	.49	2.28	3.31
	7	.86	2.88	.66	3.17	.33	.48	4.07	.41	2.25	3.47
	8	.33	2.72	.52	3.03	.27	.35	4.47	.34	2.28	3.61
	9	.41	2.58	.39	2.89	.24	.24	4.89	.29	2.36	3.75
	10	.50	2.44	.28	2.75	.24	.14	5.31	.25	2.51	3.86
	11	.61	2.32	.19	2.61	.26	.07	5.71	.23	2.69	3.94
	12	.72	2.21	.13	2.47	.30	.03	6.09	.23	1.93	4.00
	13	.85	2.13	.09	2.32	.35	.01	6.42	.24	1.81	4.04
	14	.99	2.06	.07	2.18	.42	.02	6.70	.27	1.69	4.05
	15	1.15	2.01	.09	2.03	.49	1.20	6.93	.33	1.57	4.02
	16	1.32	1.97	.14	1.89	.34	1.26	7.11	.41	1.44	3.98
	17	1.50	1.41	.22	1.75	.32	1.33	7.24	.51	1.31	3.91
	18	1.70	1.41	.32	1.61	.29	1.39	7.31	.62	1.18	3.82
	19	1.91	1.41	.44	1.47	.27	1.46	7.33	.76	1.06	3.72
	20	2.13	1.42	.57	1.34	.25	1.53	7.31	.92	.94	3.72
	21	2.36	1.43	.73	1.22	.23	1.60	7.17	1.10	.82	3.49
	22	2.61	1.44	.89	1.10	.21	1.67	6.68	1.29	.70	3.22
	23	2.87	1.46	.02	.99	.20	1.74	6.14	1.50	.60	2.93
	24	3.14	1.48	.02	.89	.20	1.80	5.58	1.72	.50	2.62
	25	3.43	1.50	.02	.80	.19	1.87	4.99	1.94	.41	2.29
	26	3.72	1.53	.03	.71	.20	1.94	4.39	2.17	.33	1.94
	27	4.02	1.56	.04	.64	.21	2.00	3.81	2.40	.26	1.60
	28	4.33	1.59	.05	.58	.23	2.06	3.26	2.63	.20	1.26
	29	4.65	1.63	.07	.52	.25	2.12	2.00	2.86	.15	.95
	30	4.97	1.66	.09	.48	2.02	2.18	1.94	3.08	.12	.67
	31	5.30	1.70	.11	.44	1.83	2.23	1.92	3.29	.10	.44
	32	5.64	1.74	.14	.41	1.62	2.27	1.97	3.48	.08	.26
	33	5.97	1.79	.17	.38	1.45	2.32	2.06	3.66	.08	.12
	34	6.31	1.83	.21	.37	1.15	2.35	2.20	3.83	.10	.04
	35	6.65	1.87	.25	.35	1.20	2.39	2.38	3.96	.12	.27
