loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.57	.15	1.37	3.38	1.07	.72	5.40	.94	.02	2.51
	1	.60	.12	1.32	3.27	1.22	.52	5.96	.96	.07	2.22
	2	.63	.08	1.28	3.15	1.37	.36	6.46	.99	.17	1.92
	3	.67	.05	1.24	3.03	1.51	.26	6.91	1.01	.29	1.64
	4	.71	.03	1.20	2.91	1.64	.22	7.32	1.04	.43	1.38
	5	.76	.01	1.16	2.78	1.76	.24	7.71	1.07	.60	1.76
	6	.81	.01	1.12	2.65	1.86	.31	8.08	1.10	.84	1.83
	7	.85	.02	1.08	2.51	1.94	.33	9.58	1.14	1.14	1.90
	8	.03	.06	1.04	2.37	2.00	.33	9.27	1.17	1.50	1.97
	9	.04	.11	.99	2.23	2.04	.33	8.93	1.21	1.90	2.05
	10	.05	.19	.94	2.08	2.07	.33	8.53	1.26	2.32	2.12
	11	.07	.30	.88	1.93	2.07	.33	8.10	1.30	2.77	2.18
	12	.09	.43	.82	1.78	2.07	.34	7.63	1.35	2.21	2.23
	13	.11	.57	.76	1.63	2.04	.35	7.14	1.40	2.00	2.26
	14	.14	.73	.70	1.48	2.01	.37	6.63	1.46	1.79	2.28
	15	.17	.91	.65	1.33	1.97	1.63	6.12	1.51	1.59	2.28
	16	.20	1.09	.61	1.18	2.28	1.66	5.61	1.57	1.40	2.27
	17	.24	.58	.59	1.03	2.15	1.68	5.13	1.63	1.24	2.24
	18	.28	.56	.58	.89	2.05	1.71	4.68	1.68	1.09	2.20
	19	.32	.53	.60	.75	1.96	1.73	4.28	1.74	.98	2.14
	20	.37	.51	.63	.62	1.88	1.74	3.92	1.80	.90	3.68
	21	.42	.49	.69	.51	1.82	1.76	3.76	1.85	.85	3.95
	22	.48	.48	.77	.40	1.77	1.77	4.25	1.90	.85	4.23
	23	.54	.48	.18	.30	1.73	1.78	4.79	1.95	.89	4.49
	24	.60	.48	.15	.22	1.70	1.78	5.34	1.99	.98	4.74
