loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	2.92	4.84	.07	2.22	.63	.88	.77	9.08	4.22	1.67
	1	2.95	4.55	.07	2.17	.57	.84	.74	9.02	3.68	1.85
	2	2.96	4.25	.08	2.11	.50	.79	.72	8.96	3.17	2.03
	3	2.98	3.94	.08	2.06	.43	.74	.71	8.89	2.72	2.22
	4	2.99	3.63	.08	2.01	.36	.69	.70	8.82	.46	2.40
	5	3.00	3.33	.09	1.95	.29	.64	.70	8.74	.40	2.85
	6	3.00	3.04	.09	1.90	.22	.59	.70	8.67	.45	3.02
	7	2.99	2.75	.10	1.84	.16	.72	.59	8.59	.63	3.23
	8	6.05	2.48	.11	1.78	.10	.95	.74	8.50	.92	3.46
	9	6.19	2.23	.12	1.73	.06	1.24	.95	8.42	1.29	3.72
	10	6.32	1.99	.13	1.68	.03	1.57	1.21	8.32	1.69	4.00
	11	6.45	1.78	.15	1.63	.01	1.93	1.53	8.22	2.07	4.29
	12	6.58	1.59	.17	1.58	.00	2.30	1.91	8.12	5.80	4.59
	13	6.70	1.42	.18	1.54	.01	2.67	2.35	8.01	5.94	4.87
	14	6.81	1.28	.21	1.50	.02	3.02	2.83	7.90	6.08	5.14
	15	6.91	1.16	.23	1.47	.05	4.67	3.36	7.77	6.21	5.38
	16	7.01	1.06	.26	1.44	.25	4.52	3.91	7.65	6.33	5.58
	17	7.09	1.96	.29	1.43	.37	4.37	4.47	7.52	6.44	5.73
	18	7.16	1.93	.33	1.42	.50	4.20	5.03	7.38	6.55	5.85
	19	7.22	1.91	.36	1.42	.67	4.04	5.58	7.24	6.66	5.91
	20	7.26	1.88	.40	1.43	.86	3.87	6.10	7.08	6.77	7.81
	21	7.29	1.86	.44	1.45	1.08	3.69	6.48	6.93	6.90	8.09
	22	7.30	1.83	.48	1.48	1.33	3.52	6.36	6.77	7.03	8.30
	23	7.29	1.81	1.05	1.52	1.60	3.34	6.13	6.61	7.17	8.44
	24	7.26	1.79	1.18	1.58	1.89	3.16	5.76	6.44	7.33	8.48
	25	7.22	1.77	1.33	1.64	2.19	2.99	5.24	6.27	7.51	8.44
	26	7.15	1.76	1.50	1.70	2.51	2.82	4.56	6.10	7.69	8.29
	27	7.07	1.75	1.70	1.78	2.83	2.65	3.75	5.93	7.89	8.06
	28	6.97	1.74	1.90	1.86	3.16	2.49	2.90	5.75	8.09	7.74
	29	6.85	1.73	2.12	1.95	3.48	2.34	3.08	5.58	8.30	7.35
	30	6.72	1.73	2.34	2.03	3.43	2.20	3.04	5.41	8.51	6.91
	31	6.57	1.73	2.56	2.11	3.16	2.08	2.99	5.23	8.71	6.44
	32	6.41	1.74	2.78	2.20	2.79	1.98	2.90	5.05	8.91	5.95
	33	6.24	1.74	2.98	2.28	2.33	1.89	2.80	4.88	9.10	5.46
	34	6.07	1.76	3.16	2.36	3.65	1.82	2.67	4.70	9.28	4.99
	35	5.88	1.77	3.33	2.43	4.08	1.78	2.53	4.52	9.44	2.72
	36	5.70	1.78	3.48	2.50	4.53	1.75	2.37	4.33	9.59	2.92
