loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.94	1.64	.80	.51	.45	3.89	3.83	9.72	5.35	3.34
	1	.95	1.64	.75	.49	.50	4.02	3.60	9.69	4.36	3.57
	2	.96	1.63	.71	.47	.55	4.13	3.33	9.65	3.34	3.78
	3	.98	1.64	.66	.45	.61	4.21	3.05	9.60	2.37	3.94
	4	1.00	1.64	.61	.43	.65	4.27	2.77	9.54	.69	4.07
	5	1.02	1.64	.56	.40	.70	4.31	2.50	9.46	.66	3.90
	6	1.04	1.65	.51	.38	.74	4.33	2.25	9.38	.66	4.09
	7	1.06	1.65	.46	.36	.78	4.07	.74	9.29	.68	4.30
	8	1.45	1.65	.42	.33	.81	3.76	.43	9.18	.73	4.51
	9	1.49	1.64	.37	.31	.83	3.48	.19	9.07	.78	4.72
	10	1.53	1.63	.33	.29	.85	3.28	.04	8.94	.84	4.94
	11	1.57	1.61	.29	.27	.86	3.18	.01	8.81	.91	5.16
	12	1.60	1.57	.26	.24	.87	3.20	.12	8.66	3.99	5.38
	13	1.63	1.53	.23	.22	.87	3.33	.38	8.51	4.08	5.60
	14	1.65	1.48	.21	.21	.86	3.58	.79	8.34	4.18	5.81
	15	1.66	1.43	.20	.19	.85	3.91	1.32	8.18	4.30	6.01
	16	1.67	1.37	.19	.18	1.76	3.88	1.96	8.00	4.43	6.20
	17	1.67	2.71	.19	.17	1.95	3.84	2.67	7.82	4.57	6.38
	18	1.67	2.65	.20	.16	2.16	3.79	3.42	7.63	4.74	6.55
	19	1.66	2.58	.21	.16	2.38	3.73	4.18	7.45	4.92	6.69
	20	1.64	2.52	.23	.16	2.60	3.67	4.93	7.26	5.12	6.16
	21	1.61	2.45	.26	.17	2.82	3.60	5.56	7.07	5.34	6.30
	22	1.58	2.38	.28	.19	3.04	3.52	5.74	6.88	5.58	6.47
	23	1.54	2.31	.05	.21	3.25	3.43	5.81	6.70	5.83	6.69
	24	1.49	2.24	.02	.23	3.45	3.33	5.77	6.52	6.09	6.93
	25	1.44	2.17	.01	.26	3.62	3.22	5.57	6.35	6.35	7.19
	26	1.38	2.10	.02	.28	3.77	3.10	5.24	6.20	6.62	7.45
	27	1.33	2.03	.04	.32	3.90	2.97	4.78	6.05	6.89	7.71
	28	1.27	1.96	.09	.35	4.00	2.84	4.26	5.92	7.16	7.94
	29	1.21	1.90	.16	.39	4.07	2.69	5.79	5.80	7.41	8.14
	30	1.14	1.83	.25	.42	3.71	2.54	6.33	5.71	7.66	8.31
	31	1.08	1.77	.36	.45	3.31	2.38	6.84	5.62	7.89	8.44
	32	1.02	1.71	.49	.48	2.81	2.21	7.32	5.56	8.10	8.55
	33	.96	1.66	.65	.51	2.27	2.05	7.73	5.49	8.29	8.63
	34	.91	1.61	.81	.53	2.92	1.87	8.08	5.44	8.46	8.70
	35	.85	1.57	.98	.55	3.12	1.70	8.36	5.39	8.60	6.74
	36	.80	1.53	1.16	.57	3.30	1.53	8.55	5.33	8.71	7.14
	37	.75	1.50	1.34	.58	3.47	1.37	8.67	5.27	13.59	7.49
	38	.71	1.47	1.51	.59	3.62	1.20	8.69	5.19	14.83	7.77
	39	.67	1.45	1.68	.60	3.75	1.05	8.64	5.09	16.04	7.96
	40	.63	1.43	1.83	.61	3.84	.91	8.50	4.98	17.23	8.05
	41	.59	1.42	1.97	.61	3.90	.78	15.51	4.84	18.36	8.04
	42	.37	1.42	5.95	.61	3.92	.66	16.37	4.67	19.44	7.92
	43	.42	1.42	6.18	.61	3.92	.55	17.08	4.48	20.45	7.70
	44	.47	1.42	6.37	.61	3.88	.45	17.63	6.74	21.37	7.41
	45	.53	1.43	6.51	.60	3.81	.36	18.05	6.85	22.20	7.06
	46	.59	1.45	6.60	.60	3.72	.30	18.35	6.98	22.93	6.41
	47	.65	1.46	6.62	.59	2.96	.36	18.54	7.12	23.54	5.63
	48	.71	1.48	6.58	.58	2.90	.42	18.65	7.27	24.03	4.78
	49	.79	1.51	6.47	1.05	2.83	2.16	18.69	7.43	24.37	3.90
	50	.86	1.53	6.29	1.06	2.73	2.36	18.66	7.60	30.51	3.01
	51	.94	1.56	6.05	1.07	2.61	2.57	18.57	7.79	31.01	2.18
	52	1.03	1.58	5.77	1.08	2.47	2.79	18.43	7.99	30.89	1.46
	53	1.11	1.61	5.45	1.09	2.32	3.03	18.23	8.19	30.37	.89
	54	1.20	1.63	3.44	1.10	2.14	3.28	17.99	8.41	29.52	1.09
	55	1.30	1.66	3.29	1.10	1.96	3.55	17.71	8.62	28.37	.93
	56	1.39	2.42	3.78	1.11	1.76	3.83	17.40	8.84	26.91	.76
	57	1.49	2.52	3.98	1.12	1.56	4.14	17.05	9.06	25.11	.62
	58	1.58	2.63	4.42	1.13	1.37	4.47	16.68	9.27	24.13	.49
	59	1.68	2.76	4.82	1.14	1.18	4.82	16.29	9.47	23.54	.39
	60	1.77	2.88	5.18	1.15	1.00	11.64	15.89	9.66	22.93	.31
	61	1.86	3.02	5.47	1.17	.84	12.39	15.48	9.84	22.31	.26
	62	1.95	3.16	5.71	1.19	.69	13.09	13.22	10.01	21.69	.24
	63	2.03	3.31	5.91	1.22	.56	13.73	13.91	10.15	21.07	.25
	64	2.11	3.47	6.07	1.25	.21	14.32	14.44	10.28	20.45	.27
	65	2.18	3.62	6.19	1.28	.21	14.85	14.81	10.39	19.83	.32
	66	2.25	3.78	7.12	1.32	.21	15.31	15.02	10.48	19.21	.37
	67	2.31	3.94	7.13	1.36	.22	15.72	15.07	10.54	18.59	.44
	68	2.36	4.09	7.12	1.40	.22	16.06	14.99	10.59	17.97	3.19
	69	2.41	4.24	7.10	2.36	.22	16.34	14.79	10.62	12.19	3.35
	70	2.45	4.37	7.07	2.38	.22	16.56	14.48	10.64	12.47	3.51
	71	2.48	4.49	7.03	2.39	.22	16.73	14.08	10.63	12.67	3.67
	72	2.51	4.59	6.97	2.39	.22	16.85	13.61	10.61	12.81	3.83
	73	2.54	4.67	6.89	2.38	.22	16.92	6.79	10.57	12.89	3.99
	74	2.16	4.72	3.49	2.36	.22	16.95	6.94	14.71	12.91	4.14
	75	2.28	4.77	3.39	2.34	.22	16.95	7.05	15.39	12.86	4.27
	76	2.52	4.78	3.29	2.32	.22	16.90	7.09	16.05	12.75	4.40
	77	2.89	4.78	3.20	2.30	.21	16.83	7.07	16.66	12.58	4.51
	78	3.38	6.60	3.10	2.29	.21	16.73	6.99	17.22	12.36	4.60
	79	3.96	6.85	2.99	2.28	.21	16.61	6.85	17.71	12.07	4.67
	80	4.58	7.21	2.89	2.26	.21	16.46	6.65	18.12	11.72	4.72
	81	5.21	10.76	2.79	2.24	.21	16.30	2.04	18.43	11.31	4.76
	82	5.82	10.98	2.68	2.22	.21	16.12	1.81	18.67	10.85	4.77
	83	6.40	11.17	2.58	2.18	.22	15.94	1.57	18.81	10.34	4.77
	84	6.25	11.30	2.48	2.15	.22	11.89	1.34	18.87	5.88	4.74
	85	.91	11.38	2.39	2.11	.22	11.62	1.11	18.85	5.31	4.70
	86	.82	11.39	2.30	2.06	.23	11.17	.90	18.75	5.02	4.65
	87	.73	11.32	2.23	2.00	.23	23.70	.69	18.58	4.83	4.59
	88	.64	11.17	2.17	1.95	.24	24.45	.52	18.35	4.63	4.51
	89	.56	10.95	2.11	1.89	.25	25.09	.36	18.04	4.43	4.43
	90	.48	10.63	2.07	1.82	.26	25.60	.23	17.68	4.22	4.33
	91	.40	8.56	2.04	1.75	.27	25.99	.14	17.27	4.01	4.24
	92	.33	8.73	2.03	1.67	.29	26.26	.07	16.82	3.80	4.14
	93	.27	8.84	2.02	1.60	.30	26.40	.03	16.31	3.59	4.03
	94	.21	8.85	2.03	.46	.32	26.42	.02	15.77	3.39	3.93
	95	.16	8.79	2.05	.34	.33	26.33	.05	15.19	3.18	2.29
	96	.11	8.64	2.07	.24	.35	26.12	.12	17.51	2.99	2.68
	97	.07	8.40	1.00	.19	.37	25.82	.24	16.93	2.80	3.11
	98	.04	8.07	.99	.17	1.01	25.41	.41	16.30	2.57	3.57
	99	.02	7.84	.98	.20	1.06	24.92	.63	15.64	2.85	4.05
	100	.01	7.98	.99	.72	1.12	24.34	.90	14.94	3.22	4.53
	101	.01	8.07	1.00	.69	1.18	23.69	1.20	14.24	3.62	5.00
	102	.03	8.10	1.02	.92	1.24	22.95	1.54	13.52	4.45	5.45
	103	.05	8.05	1.42	.35	1.31	17.11	1.90	12.81	4.72	5.87
	104	.10	7.93	1.47	.41	1.39	17.68	2.28	12.12	4.98	6.24
	105	.16	7.72	1.52	.48	1.47	18.14	2.66	11.46	5.21	6.57
	106	.24	7.42	1.58	.55	1.57	18.50	3.03	10.84	5.43	6.84
	107	.33	7.06	1.63	.62	1.67	18.76	3.41	8.06	5.63	7.06
	108	.45	6.63	1.69	.70	1.78	18.95	3.78	8.05	5.80	7.23
	109	.59	6.17	1.76	.78	1.90	19.07	4.13	8.04	5.93	7.49
	110	.74	4.13	1.82	.86	2.03	19.86	10.09	8.00	5.87	7.50
