loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	1.20	3.00	3.80	5.88	7.99	.93	3.95	.18	4.10	2.85
	1	1.18	3.24	4.02	6.01	7.93	1.05	4.00	.21	3.85	3.03
	2	1.15	3.52	4.26	6.14	7.85	1.22	4.03	.24	3.57	3.18
	3	1.09	3.82	4.50	6.28	7.76	1.42	4.05	.27	3.29	3.31
	4	1.02	4.16	4.75	6.42	7.64	1.64	4.07	.31	3.38	3.42
	5	.92	4.51	4.99	6.56	7.50	1.85	4.09	.35	3.05	2.71
	6	.81	4.88	5.24	6.70	7.33	2.05	4.11	.39	2.70	2.49
	7	.70	5.25	5.48	6.84	7.15	1.96	6.69	.44	2.34	2.29
	8	4.68	5.60	5.71	6.99	6.95	1.79	6.88	.49	1.98	2.10
	9	4.88	5.95	5.94	7.14	6.72	1.63	7.04	.55	1.63	1.93
	10	5.08	6.27	6.15	7.29	6.48	1.47	7.15	.61	1.32	1.78
	11	5.30	6.57	6.35	7.44	6.22	1.32	7.21	.67	1.05	1.67
	12	5.53	6.83	6.53	7.59	5.94	1.20	7.23	.75	1.87	1.59
	13	5.77	7.07	6.69	7.74	5.65	1.09	7.20	.82	1.95	1.54
	14	6.01	7.27	6.83	7.89	5.36	1.01	7.11	.89	2.03	1.51
	15	6.26	7.45	6.96	8.04	5.05	2.81	6.97	.97	2.11	1.51
	16	6.51	7.59	7.06	8.18	3.68	2.95	6.77	1.06	2.19	1.51
	17	6.77	8.79	7.14	8.31	3.52	3.10	6.53	1.14	2.26	1.53
	18	7.03	8.91	7.20	8.44	3.33	3.26	6.23	1.22	2.32	1.56
	19	7.28	9.03	7.24	8.57	3.11	3.44	5.90	1.30	2.37	1.59
	20	7.53	9.13	7.26	8.69	2.88	3.62	5.54	1.40	2.41	2.14
	21	7.77	9.23	7.26	8.80	2.64	3.81	5.34	1.48	2.44	2.06
	22	8.00	9.31	7.23	8.90	2.38	4.00	5.89	1.56	2.46	1.97
	23	8.21	9.38	8.97	8.99	2.13	4.20	6.40	1.65	2.46	1.88
	24	8.42	9.44	9.31	9.07	1.89	4.40	6.87	1.73	2.44	1.78
	25	8.60	9.48	9.64	9.13	1.67	4.60	7.29	1.80	2.42	1.67
	26	8.77	9.49	9.93	9.19	1.47	4.79	7.63	1.87	2.38	1.56
	27	8.92	9.49	10.21	9.23	1.29	4.99	7.89	1.94	2.33	1.45
	28	9.06	9.47	10.44	9.26	1.13	5.17	8.05	2.00	2.27	1.33
	29	9.16	9.43	10.63	9.27	.99	5.35	8.35	2.06	2.21	1.21
	30	9.26	9.36	10.78	9.26	1.77	5.51	8.15	2.10	2.14	1.10
	31	9.33	9.27	10.88	9.25	1.45	5.66	7.95	2.14	2.06	.99
	32	9.39	9.15	10.93	9.21	1.15	5.80	7.78	2.18	1.99	.90
	33	9.42	9.01	10.91	9.16	.88	5.93	7.62	2.20	1.92	.81
	34	9.43	8.84	10.84	9.10	.52	6.04	7.50	2.23	1.85	.73
	35	9.42	8.64	10.71	9.02	.71	6.14	7.41	2.24	1.78	.34
	36	9.39	8.42	10.51	8.92	.93	6.22	7.34	2.25	1.72	.38
	37	9.34	8.18	10.25	8.83	1.18	6.28	7.28	2.25	1.10	.43
	38	9.28	7.92	9.93	8.71	1.45	6.34	7.21	2.24	1.04	.50
	39	9.20	7.64	9.55	8.58	1.72	6.38	7.11	2.23	.97	.59
	40	9.10	7.34	9.13	8.44	1.99	6.41	6.99	2.21	.91	.68
	41	8.99	7.02	8.68	8.29	2.26	6.43	1.73	2.19	.85	.79
	42	9.09	6.70	9.70	8.14	2.51	6.44	1.59	2.16	.80	.91
	43	9.34	6.37	9.49	7.97	2.75	6.44	1.46	2.13	.78	1.03
	44	9.59	6.03	9.18	7.80	2.96	6.43	1.32	.24	.77	1.15
	45	9.85	5.69	8.76	7.63	3.16	6.41	1.20	.19	.77	1.27
	46	10.13	5.36	8.25	7.45	3.33	3.94	1.07	.14	.80	1.35
	47	10.42	5.02	7.64	7.27	3.67	3.73	.94	.10	.84	1.40
	48	10.71	4.70	6.97	7.09	3.40	3.46	.82	.07	.88	1.46
	49	11.02	4.39	6.26	3.45	3.12	1.79	.71	.05	.94	1.53
	50	11.33	4.08	5.53	3.38	2.83	1.75	.60	.04	3.80	1.60
	51	11.65	3.80	4.81	3.30	2.53	1.75	.50	.04	4.71	1.65
	52	11.98	3.52	4.14	3.21	2.22	1.77	.41	.06	5.78	1.69
	53	12.31	3.26	3.53	3.11	1.90	1.82	.33	.09	6.97	1.71
	54	12.64	3.02	.72	3.01	1.59	1.89	.26	.14	8.20	3.32
	55	12.97	2.79	.77	2.89	1.28	1.96	.20	.19	9.44	3.43
	56	13.29	.20	.82	2.76	.99	2.05	.15	.26	10.65	3.56
	57	13.60	.20	.88	2.63	.73	2.14	.10	.35	11.81	3.71
	58	13.89	.20	.99	2.49	.51	2.23	.07	.45	12.92	3.87
	59	14.16	.20	1.12	2.35	.34	2.32	.04	.56	13.64	4.07
	60	14.40	.20	1.24	2.19	.22	1.74	.02	.68	14.31	4.28
