loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.37	.83	1.28	5.98	3.40	2.98	6.95	1.96	3.85	1.91
	1	.27	.57	1.38	5.91	3.49	3.09	7.26	2.01	3.68	1.86
	2	.19	.33	1.48	5.83	3.57	3.20	7.51	2.08	3.61	1.81
	3	.12	.15	1.60	5.75	3.66	3.30	7.70	2.14	3.65	1.74
	4	.07	.03	1.73	5.66	3.73	3.39	7.82	2.21	2.63	1.66
	5	.04	.01	1.86	5.56	3.80	3.46	7.88	2.29	2.29	1.69
	6	.04	.12	1.99	5.46	3.86	3.52	7.88	2.37	1.98	2.03
	7	.07	.37	2.12	5.35	3.91	3.27	9.40	2.45	1.70	2.41
	8	.12	.78	2.26	5.23	3.95	2.93	9.53	2.54	1.45	2.84
	9	.12	1.34	2.38	5.10	3.98	2.59	9.60	2.63	1.24	3.28
	10	.11	2.03	2.50	4.97	4.00	2.25	9.59	2.72	1.08	3.72
	11	.10	2.83	2.60	4.83	4.01	1.92	9.50	2.82	.96	4.15
	12	.09	3.72	2.70	4.68	4.02	1.62	9.33	2.92	.74	4.54
	13	.08	4.66	2.80	4.52	4.02	1.34	9.07	3.03	.67	4.89
	14	.07	5.64	2.88	4.37	4.02	1.11	8.74	3.13	.61	5.20
	15	.07	6.62	2.96	4.20	4.02	1.82	8.35	3.24	.58	5.45
	16	.06	7.60	3.04	4.04	3.02	1.86	7.89	3.34	.58	5.65
	17	.06	5.36	3.12	3.88	2.95	1.90	7.39	3.44	.61	5.80
	18	.06	5.29	3.20	3.71	2.86	1.93	6.85	3.55	.68	5.90
	19	.06	5.19	3.28	3.55	2.75	1.97	6.29	3.64	.78	5.95
	20	.06	5.07	3.37	3.39	2.62	2.00	5.74	3.74	.93	4.82
	21	.07	4.94	3.45	3.24	2.48	2.03	5.27	3.82	1.12	4.84
	22	.07	4.79	3.54	3.10	2.32	2.05	5.22	3.90	1.34	4.83
	23	.08	4.62	3.76	2.97	2.14	2.07	5.33	3.97	1.60	4.80
	24	.09	4.43	3.71	2.85	1.94	2.09	5.51	4.03	1.89	4.74
	25	.10	4.22	3.64	2.74	1.74	2.10	5.70	4.09	2.19	4.64
	26	.11	3.99	3.56	2.66	1.53	2.10	5.86	4.13	2.52	4.51
	27	.12	3.75	3.47	2.58	1.33	2.10	5.97	4.15	2.85	4.34
	28	.13	3.49	3.37	2.52	1.13	2.10	6.04	4.17	3.18	4.15
	29	.14	3.22	3.26	2.48	.96	2.08	6.77	4.17	3.51	3.93
	30	.15	2.94	3.14	2.45	.35	2.06	6.95	4.16	3.83	3.68
	31	.16	2.65	3.01	2.43	.46	2.04	7.15	4.14	4.13	3.43
	32	.17	2.36	2.87	2.43	.58	2.01	7.36	4.11	4.42	3.17
	33	.19	2.07	2.73	2.43	.70	1.97	7.58	4.06	4.69	2.91
	34	.19	1.78	2.57	2.44	1.05	1.93	7.81	4.00	4.94	2.68
	35	.20	1.51	2.42	2.46	1.23	1.88	8.04	3.94	5.17	1.99
	36	.21	1.25	2.27	2.49	1.40	1.83	8.26	3.86	5.37	1.99
	37	.21	1.00	2.12	2.52	1.58	1.77	8.46	3.77	3.85	1.98
	38	.21	.78	1.99	2.55	1.76	1.71	8.62	3.67	3.61	1.98
	39	.22	.59	1.86	2.59	1.92	1.65	8.73	3.57	3.32	1.97
	40	.22	.43	1.75	2.63	2.07	1.58	8.76	3.46	3.00	1.96
	41	.22	.29	1.66	2.66	2.19	1.52	5.03	3.34	2.64	1.95
	42	1.35	.19	.44	2.70	2.29	1.45	5.32	3.23	2.26	1.95
	43	1.51	.12	.38	2.73	2.38	1.38	5.52	3.10	1.88	1.94
	44	1.69	.07	.33	2.77	2.44	1.32	5.64	3.84	1.51	1.94
	45	1.90	.06	.29	2.80	2.47	1.25	5.67	3.78	1.16	1.94
	46	2.14	.07	.27	2.83	2.50	.22	5.63	3.72	.86	2.06
	47	2.40	.11	.27	2.85	3.08	.23	5.52	3.66	.60	2.23
	48	2.70	.16	.28	2.87	3.06	.24	5.35	3.58	.40	2.44
