loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	1.39	.48	.42	.96	5.53	1.14	.89	23.43	2.01	3.57
	1	1.57	.38	.38	.92	6.19	1.21	.69	23.46	1.81	3.84
	2	1.79	.29	.37	.88	6.94	1.32	.52	23.50	1.62	3.97
	3	2.05	.21	.38	.83	7.77	1.47	.40	23.52	1.45	3.97
	4	2.32	.14	.42	.79	8.63	1.63	.33	23.53	1.93	3.85
	5	2.60	.09	.48	.74	9.49	1.81	.31	23.54	2.26	5.28
	6	2.87	.05	.57	.69	10.33	1.98	.35	23.54	2.59	5.12
	7	3.11	.02	.68	.64	11.12	2.12	1.03	23.54	2.92	4.97
	8	3.70	.01	.81	.59	11.87	2.23	1.12	23.52	3.21	4.84
	9	3.78	.02	.97	.54	12.56	2.33	1.21	23.49	3.45	4.74
	10	3.85	.05	1.14	.50	13.18	2.42	1.31	23.44	3.63	4.67
	11	3.92	.09	1.33	.45	13.73	2.49	1.41	23.39	3.76	4.62
	12	3.97	.14	1.52	.40	14.21	2.55	1.50	23.32	5.14	4.60
	13	4.01	.21	1.72	.36	14.63	2.59	1.58	23.23	5.11	4.58
	14	4.03	.28	1.91	.33	14.98	2.61	1.65	23.13	5.07	4.57
	15	4.04	.36	2.08	.29	15.26	6.48	1.69	23.02	5.01	4.55
	16	4.03	.45	2.24	.26	10.96	6.43	1.72	22.88	4.94	4.51
	17	4.01	.31	2.39	.24	10.34	6.38	1.72	22.73	4.85	4.43
	18	3.97	.33	2.51	.23	9.67	6.31	1.69	22.56	4.76	4.31
	19	3.92	.34	2.60	.23	8.93	6.24	1.66	22.37	4.65	4.14
	20	3.85	.36	2.68	.24	8.13	6.15	1.61	22.16	4.53	5.69
	21	3.76	.38	2.74	.25	7.30	6.05	1.58	21.92	4.41	5.89
	22	3.67	.40	2.77	.28	6.43	5.93	1.66	21.67	4.28	6.09
	23	3.56	.44	1.38	.32	5.54	5.81	1.76	21.40	4.15	6.29
	24	3.45	.47	1.34	.37	4.67	5.67	1.88	21.11	4.01	6.50
	25	3.34	.51	1.28	.43	3.83	5.52	2.00	20.80	3.88	6.71
	26	3.22	.56	1.21	.50	3.05	5.35	2.12	20.47	3.76	6.93
	27	3.10	.62	1.12	.58	2.36	5.18	2.23	20.12	3.63	7.15
	28	2.99	.68	1.01	.67	1.77	4.99	2.35	19.76	3.52	7.37
	29	2.88	.76	.90	.76	1.30	4.80	2.39	19.38	3.41	7.60
	30	2.78	.84	.78	.86	1.77	4.60	2.41	18.98	3.31	7.83
	31	2.69	.93	.65	.96	1.76	4.39	2.42	18.57	3.23	8.05
	32	2.61	1.03	.52	1.07	1.72	4.17	2.42	18.15	3.15	8.27
	33	2.55	1.14	.40	1.18	1.66	3.96	2.41	17.72	3.09	8.47
	34	2.49	1.26	.29	1.28	.78	3.75	2.39	17.28	3.05	8.64
	35	2.44	1.39	.19	1.39	.77	3.55	2.35	16.83	3.02	5.71
	36	2.40	1.52	.11	1.50	.79	3.35	2.30	16.37	3.00	5.73
	37	2.37	1.66	.05	1.61	.82	3.17	2.23	15.91	1.81	5.71
	38	2.35	1.81	.01	1.71	.88	3.01	2.15	15.43	1.70	5.66
	39	2.33	1.97	.00	1.81	.96	2.86	2.06	14.95	1.59	5.58
	40	2.32	2.12	.02	1.90	1.07	2.74	1.95	14.46	1.48	5.48
