loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.73	.51	2.48	1.24	4.10	.96	1.52	7.24	.18	.41
	1	.76	.62	2.28	1.21	3.97	.94	1.39	7.13	.07	.41
	2	.79	.77	2.08	1.19	3.85	.91	1.25	7.02	.02	.40
	3	.83	.95	1.88	1.17	3.75	.87	1.11	6.91	.05	.39
	4	.87	1.18	1.67	1.16	3.66	.83	.97	6.78	1.46	.37
	5	.91	1.46	1.48	1.15	3.58	.79	.84	6.65	1.64	.66
	6	.95	1.78	1.28	1.14	3.52	.75	.72	6.52	1.87	.59
	7	.99	2.15	1.10	1.14	3.46	.65	.59	6.38	2.13	.52
	8	1.67	2.56	.93	1.14	3.41	.55	.51	6.23	2.42	.47
	9	1.70	3.01	.77	1.15	3.38	.46	.43	6.08	2.72	.43
	10	1.74	3.49	.62	1.17	3.34	.39	.36	5.92	3.02	.40
	11	1.78	4.00	.50	1.19	3.31	.35	.28	5.75	3.31	.39
	12	1.83	4.53	.39	1.22	3.29	.35	.22	5.58	5.77	.40
	13	1.88	5.07	.30	1.25	3.27	.39	.18	5.41	5.94	.42
	14	1.93	5.61	.22	1.30	3.25	.48	.17	5.23	6.11	.47
	15	1.99	6.15	.17	1.35	3.23	2.15	.18	5.06	6.31	.53
	16	2.07	6.69	.13	1.42	2.75	2.13	.22	4.88	6.53	.60
	17	2.15	5.08	.10	1.50	2.96	2.11	.28	4.72	6.77	.68
	18	2.24	5.04	.09	1.59	3.14	2.09	.36	4.55	7.05	.78
	19	2.35	4.98	.08	1.70	3.30	2.06	.44	4.40	7.36	.87
	20	2.46	4.91	.08	1.82	3.42	2.02	.53	4.27	7.71	.41
	21	2.60	4.82	.10	1.95	3.49	1.98	.60	4.15	8.08	.38
	22	2.74	4.71	.11	2.11	3.50	1.94	.59	4.05	8.49	.35
	23	2.90	4.60	1.40	2.28	3.47	1.89	.60	3.98	8.92	.34
	24	3.07	4.47	1.48	2.47	3.38	1.84	.65	3.93	9.36	.34
	25	3.25	4.33	1.58	2.68	3.25	1.78	.75	3.92	9.82	.37
	26	3.44	4.17	1.68	2.90	3.07	1.72	.89	3.93	10.28	.41
	27	3.63	4.01	1.79	3.14	2.86	1.65	1.06	3.96	10.73	.48
	28	3.83	3.83	1.92	3.39	2.62	1.58	1.27	4.02	11.18	.58
	29	4.03	3.65	2.05	3.65	2.37	1.51	.79	4.09	11.60	.69
	30	4.22	3.46	2.18	3.92	.12	1.44	.75	4.19	12.01	.83
	31	4.42	3.27	2.32	4.19	.09	1.36	.72	4.29	12.38	.99
	32	4.61	3.07	2.45	4.47	.21	1.28	.69	4.41	12.73	1.17
	33	4.80	2.87	2.59	4.76	.47	1.20	.67	4.53	13.04	1.35
	34	4.97	2.68	2.72	5.05	.06	1.13	.66	4.65	13.31	1.55
	35	5.14	2.49	2.83	5.33	.02	1.06	.65	4.78	13.54	6.08
	36	5.30	2.31	2.93	5.62	.01	.99	.65	4.90	13.74	6.65
	37	5.45	2.13	3.02	5.90	.03	.92	.65	5.03	14.43	7.20
	38	5.59	1.96	3.10	6.18	.07	.87	.64	5.14	14.69	7.75
	39	5.72	1.81	3.16	6.46	.15	.82	.63	5.25	14.86	8.26
	40	5.83	1.66	3.20	6.73	.25	.78	.61	5.35	14.94	8.73
	41	5.93	1.53	3.23	7.00	.38	.74	3.62	5.45	14.91	9.15
	42	7.12	1.42	2.37	7.25	.53	.72	4.05	5.53	14.78	9.51
	43	7.22	1.32	2.55	7.51	.69	.71	4.50	5.60	14.54	9.79
	44	7.32	1.23	2.72	7.75	.85	.70	4.97	2.74	14.18	9.99
	45	7.42	1.16	2.88	7.99	1.01	.71	5.43	2.68	13.70	10.12
	46	7.52	1.10	3.03	8.22	1.17	.47	5.89	2.61	13.10	9.78
	47	7.61	1.05	3.16	8.44	1.21	.48	6.33	2.54	12.36	10.45
	48	7.69	1.02	3.27	8.66	1.28	.55	6.75	2.46	11.50	11.06
	49	7.77	.99	3.36	13.85	1.36	.98	7.15	2.38	10.55	11.56
	50	7.83	.98	3.43	14.62	1.44	.86	7.51	2.29	8.94	11.95
	51	7.88	.97	3.48	15.41	1.52	.76	7.85	2.20	9.06	12.21
	52	7.90	.97	3.50	16.19	1.61	.67	8.16	2.11	9.17	12.34
	53	7.90	.98	3.51	16.96	1.70	.61	8.43	2.02	9.24	12.32
	54	7.88	.99	2.16	17.72	1.80	.56	8.68	1.92	9.23	15.03
	55	7.83	1.01	1.52	18.45	1.89	.52	8.89	1.84	9.11	15.15
	56	7.74	2.11	.83	19.15	1.98	.50	9.07	1.76	8.84	15.15
	57	7.62	2.17	.45	19.80	2.08	.49	9.23	1.68	8.41	15.03
	58	7.47	2.23	.29	20.41	2.17	.48	9.35	1.62	8.66	14.81
	59	7.27	2.28	.17	20.96	2.25	.48	9.46	1.56	8.33	14.50
	60	7.04	2.34	.08	21.46	2.34	6.73	9.53	1.52	7.95	14.12
	61	6.78	2.39	.04	21.88	2.41	7.01	9.59	1.49	7.53	13.67
	62	6.48	2.43	.05	22.23	2.48	7.26	11.81	1.47	7.08	13.16
	63	6.16	2.47	.12	22.50	2.54	7.46	12.77	1.47	6.60	12.60
	64	5.81	2.50	.24	22.69	4.22	7.63	13.64	1.48	6.10	12.01
	65	5.45	2.53	.39	22.78	4.19	7.76	14.40	1.49	5.59	11.39
	66	5.09	2.55	.12	22.79	4.17	7.85	15.04	1.53	5.09	10.75
	67	4.72	2.56	.15	22.70	4.14	7.90	15.53	1.57	4.59	10.10
	68	4.36	2.57	.19	22.51	4.11	7.93	15.86	1.62	4.12	2.62
	69	4.01	2.57	.23	30.42	4.08	7.93	16.03	1.67	.99	2.45
	70	3.68	2.57	.28	30.66	4.06	7.90	16.03	1.74	.93	2.29
	71	3.37	2.56	.33	30.72	4.03	7.84	15.87	1.81	.86	2.13
	72	3.08	2.54	.37	30.59	4.00	7.77	15.56	1.88	.79	1.98
	73	2.81	2.52	.41	30.29	3.97	7.68	11.52	1.96	.72	1.82
	74	1.32	2.49	.77	29.82	3.95	7.58	11.49	8.88	.65	1.67
	75	1.02	2.46	.71	29.23	3.92	7.46	11.35	9.05	.58	1.52
	76	.73	2.42	.64	28.55	3.89	7.33	11.09	9.17	.50	1.38
	77	.45	2.38	.58	28.11	3.85	7.20	10.74	9.24	.44	1.24
	78	.22	3.44	.53	28.22	3.82	7.06	10.31	9.27	.37	1.12
	79	.07	3.96	.48	28.21	3.78	6.91	9.84	9.25	.31	1.00
	80	.01	4.58	.43	28.07	3.73	6.76	9.36	9.20	.26	.90
	81	.05	7.36	.39	27.80	3.68	6.60	7.78	9.12	.21	.81
	82	.21	8.32	.35	27.41	3.62	6.45	7.79	9.00	.16	.73
	83	.47	9.31	.32	26.90	3.56	6.29	7.76	8.86	.12	.66
	84	.35	10.24	.30	26.27	3.49	4.99	7.70	8.70	.79	.61
	85	.28	11.07	.27	25.53	3.42	6.81	7.61	8.52	.80	.57
	86	.30	11.73	.25	24.68	3.34	8.24	7.47	8.32	.83	.54
	87	.32	12.19	.24	23.74	3.26	21.48	7.31	8.10	.87	.52
	88	.33	12.43	.23	22.70	3.17	23.63	7.11	7.87	.91	.52
	89	.36	12.41	.22	21.58	3.07	25.72	6.88	7.63	.96	.53
	90	.38	12.15	.21	20.38	2.98	27.71	6.62	7.38	1.00	.54
	91	.40	11.27	.21	19.12	2.88	29.59	6.17	7.13	1.05	.57
