loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	2.99	1.77	2.86	3.67	.83	.50	.73	2.86	.25	3.56
	1	2.83	1.87	2.79	3.57	1.04	.55	1.09	2.75	.22	4.07
	2	2.65	1.98	2.71	3.47	1.27	.60	1.53	2.64	.20	4.49
	3	2.45	2.08	2.62	3.37	1.50	.64	2.05	2.52	.19	4.82
	4	2.25	2.18	2.51	3.26	1.74	.68	2.62	2.40	.24	5.07
	5	2.06	2.28	2.39	3.15	1.98	.72	3.22	2.27	.34	5.17
	6	1.89	2.37	2.26	3.04	2.21	.75	3.85	2.14	.47	5.31
	7	1.75	2.44	2.13	2.92	2.43	.90	6.58	2.01	.62	5.44
	8	.79	2.51	1.98	2.81	2.65	1.11	6.81	1.88	.78	5.56
	9	.82	2.57	1.83	2.69	2.85	1.36	7.02	1.75	.96	5.67
	10	.86	2.61	1.67	2.57	3.04	1.63	7.20	1.61	1.14	5.76
	11	.91	2.65	1.52	2.45	3.21	1.90	7.35	1.48	1.33	5.83
	12	.96	2.67	1.37	2.33	3.36	2.16	7.47	1.35	.83	5.87
	13	1.03	2.68	1.22	2.21	3.49	2.39	7.54	1.22	.81	5.90
	14	1.10	2.69	1.08	2.10	3.60	2.58	7.58	1.09	.79	5.90
	15	1.17	2.70	.95	2.00	3.70	5.52	7.57	.97	.76	5.89
	16	1.26	2.70	.83	1.90	5.40	5.62	7.53	.85	.73	5.85
	17	1.36	2.86	.72	1.81	5.77	5.71	7.44	.73	.70	5.78
	18	1.46	2.89	.62	1.73	6.13	5.81	7.31	.62	.66	5.70
	19	1.57	2.93	.54	1.66	6.47	5.89	7.14	.52	.62	5.59
	20	1.69	2.97	.46	1.61	6.79	5.97	6.93	.43	.57	4.85
	21	1.82	3.00	.40	1.57	7.06	6.04	6.58	.35	.53	4.71
	22	1.96	3.03	.34	1.54	7.30	6.09	5.70	.27	.49	4.55
	23	2.10	3.06	.94	1.54	7.51	6.14	4.79	.21	.46	4.38
	24	2.25	3.09	.85	1.54	7.68	6.17	3.88	.15	.42	4.20
	25	2.41	3.11	.77	1.57	7.81	6.19	2.99	.11	.40	4.00
	26	2.57	3.13	.70	1.61	7.91	6.19	2.16	.07	.38	3.79
	27	2.74	3.14	.63	1.66	7.98	6.17	1.44	.05	.37	3.57
	28	2.91	3.16	.56	1.73	8.01	6.14	.85	.04	.37	3.34
	29	3.08	3.17	.51	1.80	8.01	6.09	.59	.03	.38	3.09
	30	3.26	3.17	.45	1.89	8.71	6.02	.72	.04	.40	2.83
	31	3.44	3.18	.41	1.98	8.45	5.93	.91	.05	.43	2.57
	32	3.63	3.18	.38	2.08	7.88	5.83	1.15	.08	.47	2.30
	33	3.81	3.19	.35	2.18	7.11	5.71	1.44	.11	.51	2.03
	34	3.99	3.19	.33	2.28	6.09	5.57	1.76	.15	.56	1.77
	35	4.17	3.19	.32	2.39	5.84	5.43	2.11	.19	.61	.20
	36	4.34	3.20	.31	2.49	5.55	5.27	2.47	.24	.67	.30
	37	4.51	3.20	.31	2.60	5.22	5.10	2.84	.29	1.18	.40
	38	4.68	3.21	.32	2.69	4.86	4.93	3.20	.35	1.36	.52
	39	4.84	3.22	.33	2.79	4.48	4.75	3.54	.41	1.53	.64
	40	4.99	3.24	.34	2.88	4.07	4.57	3.86	.48	1.71	.76
	41	5.13	3.26	.36	2.97	3.65	4.38	.83	.54	1.88	.88
