loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	2.22	.07	2.86	2.98	2.56	2.22	1.57	1.25	.09	2.33
	1	2.07	.07	2.52	2.81	2.89	2.13	1.60	1.23	.11	1.83
	2	1.95	.13	2.18	2.64	3.22	2.04	1.70	1.20	.14	1.45
	3	1.86	.29	1.83	2.47	3.51	1.96	1.86	1.18	.17	1.22
	4	1.81	.54	1.49	2.29	3.78	1.89	2.10	1.15	.16	1.16
	5	1.82	.91	1.17	2.12	4.01	1.84	2.40	1.13	.14	1.03
	6	1.88	1.39	.86	1.94	4.21	1.81	2.75	1.10	.19	.96
	7	1.99	1.99	.60	1.77	4.37	1.84	3.54	1.07	.29	.89
	8	.09	2.68	.37	1.60	4.49	1.88	3.25	1.05	.45	.83
	9	.07	3.46	.19	1.43	4.57	1.90	2.96	1.02	.64	.77
	10	.06	4.29	.08	1.27	4.61	1.91	2.67	1.00	.87	.72
	11	.06	5.15	.02	1.11	4.61	1.90	2.39	.97	1.13	.69
	12	.05	6.03	.03	.97	4.57	1.86	2.12	.94	1.14	.67
	13	.06	6.92	.10	.85	4.50	1.81	1.87	.92	1.01	.67
	14	.07	7.79	.22	.74	4.40	1.74	1.64	.89	.89	.68
	15	.09	8.64	.39	.65	4.27	4.73	1.45	.86	.76	.71
	16	.11	9.46	.59	.59	6.30	4.79	1.29	.84	.64	.75
	17	.15	10.54	.83	.56	6.53	4.84	1.18	.81	.53	.80
	18	.19	10.40	1.07	.57	6.75	4.89	1.10	.79	.44	.86
	19	.24	10.24	1.33	.62	6.95	4.94	1.06	.76	.36	.92
	20	.30	10.05	1.60	.70	7.11	4.98	1.04	.73	.30	1.38
	21	.37	9.85	1.86	.83	7.25	5.01	1.06	.71	.27	1.39
	22	.45	9.63	2.12	1.00	7.36	5.03	1.05	.68	.28	1.40
	23	.54	9.39	1.10	1.21	7.44	5.05	1.02	.66	.32	1.40
	24	.64	9.14	1.12	1.45	7.49	5.06	.96	.64	.41	1.40
	25	.74	8.88	1.13	1.73	7.51	5.06	.86	.61	.54	1.39
	26	.86	8.60	1.13	2.03	7.50	5.06	.73	.59	.70	1.37
	27	.98	8.32	1.10	2.34	7.47	5.04	.60	.57	.91	1.34
	28	1.11	8.03	1.07	2.68	7.40	5.02	.47	.55	1.15	1.31
	29	1.24	7.74	1.02	3.02	7.30	4.99	.79	.53	1.42	1.27
	30	1.38	7.44	.96	3.37	5.17	4.96	.81	.50	1.71	1.22
	31	1.52	7.15	.89	3.73	4.68	4.92	.85	.48	2.02	1.17
	32	1.67	6.85	.80	4.08	3.94	4.87	.89	.47	2.34	1.11
	33	1.82	6.56	.71	4.43	3.08	4.82	.94	.45	2.68	1.05
	34	1.96	6.28	.62	4.78	2.90	4.77	1.01	.43	3.01	.98
	35	2.11	6.01	.52	5.12	2.92	4.72	1.08	.41	3.35	.45
	36	2.25	5.75	.43	5.46	2.92	4.66	1.17	.39	3.69	.52
	37	2.40	5.50	.33	5.78	2.90	4.60	1.26	.37	5.67	.58
	38	2.53	5.26	.24	6.09	2.87	4.55	1.35	.36	5.62	.65
	39	2.67	5.04	.17	6.40	2.81	4.49	1.45	.34	5.52	.73
	40	2.80	4.84	.10	6.68	2.73	4.44	1.55	.32	5.36	.81
	41	2.92	4.64	.05	6.96	2.64	4.38	.01	.31	5.16	.90
	42	7.57	4.47	.07	7.22	2.53	4.33	.01	.29	4.90	.99
	43	7.89	4.31	.04	7.46	2.41	4.29	.02	.27	4.60	1.08
	44	8.23	4.16	.02	7.69	2.29	4.24	.02	.97	4.26	1.17
	45	8.60	4.03	.01	7.91	2.16	4.20	.03	.99	3.90	1.25
	46	8.98	3.91	.00	8.10	2.03	1.59	.04	1.01	3.51	.96
	47	9.38	3.80	.00	8.29	.80	1.49	.05	1.04	3.13	.89
	48	9.79	3.70	.01	8.45	.81	1.40	.06	1.07	2.76	.83
	49	10.22	3.61	.03	11.98	.83	3.41	.06	1.10	2.41	.77
	50	10.66	3.53	.05	12.38	.86	3.42	.07	1.14	.99	.74
	51	11.11	3.46	.07	12.76	.90	3.39	.08	1.17	.84	.72
	52	11.57	3.40	.10	13.11	.94	3.34	.09	1.21	.69	.72
