loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.18	2.47	2.13	15.47	6.55	1.61	.76	.77	1.53	2.77
	1	.17	2.60	2.25	15.56	6.68	1.80	.85	.73	1.59	2.31
	2	.16	2.73	2.36	15.66	6.75	1.97	.97	.69	1.62	1.85
	3	.15	2.86	2.48	15.75	6.77	2.12	1.12	.66	1.60	1.39
	4	.14	2.97	2.60	15.84	6.74	2.24	1.31	.63	1.69	.99
	5	.13	3.07	2.72	15.93	6.66	2.33	1.54	.60	1.45	.96
	6	.13	3.16	2.85	16.02	6.54	2.40	1.81	.58	1.22	1.03
	7	.13	3.22	2.96	16.10	6.37	2.39	3.79	.56	1.00	1.12
	8	.78	3.26	3.08	16.18	6.16	2.35	3.61	.55	.80	1.23
	9	.81	3.26	3.20	16.24	5.92	2.29	3.40	.54	.61	1.36
	10	.84	3.24	3.30	16.31	5.66	2.21	3.16	.54	.44	1.51
	11	.88	3.20	3.40	16.37	5.37	2.12	2.89	.54	.30	1.67
	12	.91	3.12	3.50	16.41	5.05	2.00	2.59	.56	.26	1.85
	13	.95	3.03	3.58	16.45	4.73	1.87	2.28	.57	.29	2.04
	14	.99	2.92	3.65	16.47	4.40	1.74	1.97	.60	.32	2.24
	15	1.03	2.80	3.72	16.48	4.06	5.03	1.67	.64	.36	2.45
	16	1.08	2.66	3.77	16.48	5.38	5.17	1.39	.68	.39	2.65
	17	1.13	1.09	3.80	16.46	5.71	5.31	1.14	.72	.43	2.86
	18	1.18	1.06	3.82	16.43	6.02	5.46	.91	.78	.46	3.06
	19	1.23	1.02	3.82	16.37	6.29	5.62	.72	.83	.50	3.26
	20	1.29	.99	3.81	16.31	6.52	5.78	.57	.90	.53	2.96
	21	1.35	.95	3.79	16.23	6.70	5.95	.46	.96	.56	2.96
	22	1.40	.90	3.75	16.12	6.82	6.12	.46	1.04	.58	2.95
	23	1.46	.85	2.97	16.00	6.89	6.30	.46	1.12	.61	2.93
	24	1.52	.80	3.03	15.87	6.91	6.49	.48	1.20	.63	2.89
	25	1.58	.75	3.09	15.71	6.88	6.68	.51	1.28	.64	2.83
	26	1.63	.69	3.16	15.54	6.80	6.88	.56	1.36	.65	2.75
	27	1.68	.63	3.23	15.34	6.69	7.09	.62	1.44	.65	2.66
	28	1.73	.57	3.30	15.15	6.55	7.31	.68	1.52	.64	2.55
	29	1.77	.51	3.37	14.92	6.38	7.53	.60	1.60	.64	2.42
	30	1.81	.44	3.44	14.69	3.18	7.75	.53	1.67	.63	2.28
	31	1.85	.38	3.50	14.45	2.73	7.98	.49	1.74	.62	2.13
	32	1.89	.31	3.56	14.19	2.18	8.21	.49	1.81	.61	1.97
	33	1.91	.25	3.62	13.92	1.61	8.45	.55	1.86	.60	1.81
	34	1.94	.20	3.68	13.63	2.96	8.67	.66	1.92	.58	1.66
	35	1.96	.14	3.73	13.34	3.18	8.90	.82	1.96	.57	4.48
	36	1.97	.10	3.77	13.04	3.40	9.12	1.02	2.00	.56	4.51
	37	1.99	.06	3.80	12.73	3.59	9.34	1.25	2.03	.07	4.53
	38	1.99	.03	3.81	12.42	3.75	9.55	1.51	2.06	.10	4.54
	39	2.00	.01	3.83	12.09	3.88	9.74	1.78	2.08	.14	4.54
	40	2.01	.00	3.82	11.76	3.97	9.93	2.06	2.09	.19	4.53
	41	2.01	.00	3.80	11.42	4.03	10.10	1.32	2.09	.25	4.52
	42	4.78	.01	6.28	11.09	4.05	10.26	1.35	2.09	.31	4.51
	43	5.19	.03	6.41	10.74	4.03	10.41	1.41	2.08	.38	4.49
	44	5.62	.07	6.55	10.40	3.99	10.54	1.49	1.82	.45	4.47
	45	6.09	.11	6.67	10.06	3.93	10.65	1.61	1.67	.53	4.46
	46	6.58	.16	6.79	9.72	3.85	8.66	1.75	1.55	.61	3.88
	47	7.09	.22	6.88	9.38	3.12	9.41	1.94	1.47	.68	4.34
	48	7.62	.29	6.95	9.05	3.21	9.76	2.16	1.42	.76	4.77
	49	8.16	.37	6.99	3.06	3.30	7.43	2.41	1.42	.82	5.15
	50	8.71	.44	6.98	3.30	3.39	7.48	2.69	1.46	2.33	5.48
	51	9.26	.53	6.94	3.54	3.46	7.53	2.99	1.56	3.02	5.75
	52	9.80	.62	6.86	3.80	3.53	7.55	3.31	1.70	3.79	5.96
	53	10.32	.71	6.75	4.08	3.59	7.55	3.64	1.89	4.61	6.11
	54	10.81	.81	6.44	4.36	3.64	7.52	3.97	2.13	5.43	8.47
	55	11.28	.91	6.25	4.65	3.68	7.47	4.30	2.41	6.21	8.77
	56	11.71	1.31	5.09	4.95	3.70	7.40	4.62	2.73	6.93	9.03
	57	12.09	1.29	4.07	5.27	3.71	7.31	4.92	3.09	7.57	9.24
	58	12.42	1.25	3.97	5.57	3.71	7.20	5.20	3.47	8.05	9.40
	59	12.70	1.20	3.82	5.90	3.69	7.08	5.47	3.87	8.45	9.51
	60	12.93	1.13	3.62	6.21	3.67	3.03	5.72	4.28	8.78	9.56
	61	13.09	1.05	3.39	6.52	3.64	3.01	5.94	4.69	9.02	9.56
	62	13.21	.97	3.13	6.80	3.60	3.08	5.71	5.10	9.21	9.51
	63	13.27	.88	2.85	7.08	3.55	3.21	6.88	5.51	9.31	9.40
	64	13.27	.78	2.58	7.33	1.87	3.41	8.17	5.90	9.34	9.25
	65	13.22	.67	2.32	7.56	1.82	3.65	9.49	6.28	9.30	9.06
	66	13.12	.57	5.71	7.77	1.77	3.92	10.77	6.64	9.18	8.83
	67	12.98	.47	5.82	7.94	1.71	4.21	11.95	6.99	9.01	8.58
	68	12.80	.38	5.91	8.08	1.65	4.49	12.98	7.31	8.77	6.46
	69	12.59	.30	5.99	8.87	1.59	4.77	13.83	7.62	10.15	6.42
	70	12.34	.23	6.08	9.13	1.52	5.04	14.48	7.90	10.18	6.36
	71	12.08	.17	6.16	9.35	1.46	5.29	14.90	8.16	10.17	6.29
	72	11.80	.12	6.26	9.52	1.39	5.52	15.08	8.40	10.15	6.20
	73	11.52	.09	6.37	9.64	1.31	5.73	14.89	8.61	10.08	6.10
	74	8.74	.07	2.94	9.71	1.24	5.93	13.72	11.90	9.99	5.99
	75	9.23	.05	3.24	9.75	1.16	6.10	12.43	12.03	9.85	5.86
	76	9.67	.05	3.56	9.75	1.09	6.28	11.05	12.14	9.69	5.72
	77	10.05	.06	3.88	9.62	1.01	6.44	9.60	12.24	9.48	5.57
	78	10.35	.19	4.22	9.23	.93	6.59	8.13	12.32	9.23	5.41
	79	10.57	.20	4.55	8.82	.85	6.75	6.68	12.38	8.94	5.24
	80	10.70	.22	4.89	8.39	.78	6.90	5.34	12.42	8.62	5.06
	81	10.72	.47	5.23	7.95	.70	7.06	5.09	12.42	8.27	4.87
	82	10.63	.47	5.57	7.49	.63	7.22	5.01	12.41	7.89	4.69
	83	10.43	.48	5.89	7.03	.56	7.38	4.90	12.36	7.50	4.51
	84	12.04	.50	6.20	6.56	.49	13.43	4.77	12.27	5.17	4.32
	85	9.09	.53	6.49	6.09	.43	13.18	4.62	12.14	4.99	4.13
	86	9.13	.57	6.76	5.63	.37	12.59	4.44	11.97	4.89	3.95
	87	9.17	.62	7.01	5.20	.32	11.88	4.24	11.77	4.56	3.77
	88	9.21	.67	7.22	4.78	.28	11.71	4.02	11.52	4.22	3.58
	89	9.25	.72	7.41	4.40	.24	11.51	3.78	11.22	3.90	3.41
	90	9.28	.78	7.56	4.06	.21	11.27	3.54	10.87	3.58	3.24
	91	9.31	1.26	7.68	3.76	.18	10.99	3.33	10.49	3.29	3.07
	92	9.34	1.60	7.78	3.50	.16	10.67	3.11	10.06	3.03	2.90
	93	9.36	1.97	7.84	3.28	.14	10.31	2.86	9.61	2.80	2.74
	94	9.37	2.33	7.88	4.40	.12	9.92	2.60	9.14	2.60	2.58
	95	9.37	2.68	7.90	4.36	.11	9.50	2.33	8.65	2.45	2.27
	96	9.36	2.98	7.89	4.31	.10	9.05	2.05	8.04	2.34	2.69
	97	9.35	3.24	5.24	4.27	.09	8.57	1.77	8.06	2.28	3.15
	98	9.32	3.43	5.34	4.22	.12	8.08	1.49	8.02	1.51	3.62
	99	9.29	3.63	5.41	4.18	.12	7.56	1.23	7.92	1.00	4.08
	100	9.25	3.94	5.47	3.67	.11	7.04	.98	7.74	.59	4.52
	101	9.20	4.25	5.51	4.18	.10	6.52	.76	7.49	.33	4.91
	102	9.15	4.54	5.54	4.62	.08	6.01	.57	7.18	.60	5.22
	103	9.11	4.82	5.75	10.13	.08	6.44	.41	6.79	.69	5.46
	104	9.06	5.04	5.81	10.56	.08	5.72	.28	6.32	.79	5.61
	105	9.02	5.22	5.85	10.96	.07	4.92	.18	5.79	.87	5.68
	106	8.98	5.33	5.90	11.33	.07	4.05	.11	5.20	.94	5.67
	107	8.96	5.37	5.92	11.66	.08	3.17	.07	3.76	1.00	5.59
	108	8.95	5.34	5.92	11.92	.09	2.32	.04	3.76	1.06	5.46
	109	8.97	5.25	5.90	12.11	.10	1.58	.03	3.76	1.10	5.80
	110	8.99	5.42	5.85	12.24	.12	1.36	.29	3.77	1.26	5.91
	111	9.06	5.47	5.78	12.29	.14	1.25	.19	3.78	1.48	6.02
	112	9.15	5.46	5.68	12.26	.17	1.13	.11	3.79	1.68	6.12
	113	9.26	5.41	5.56	12.17	.20	1.00	.05	3.80	1.86	6.23
