loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.14	1.32	5.96	4.72	4.59	.24	2.90	.36	5.33	2.97
	1	.18	1.02	6.17	4.94	4.58	.20	3.04	.31	5.14	3.23
	2	.23	.76	6.38	5.16	4.55	.17	3.19	.27	4.90	3.42
	3	.28	.57	6.58	5.39	4.52	.17	3.34	.22	4.64	3.52
	4	.34	.46	6.77	5.62	4.46	.17	3.49	.19	3.81	3.54
	5	.40	.48	6.95	5.86	4.40	.21	3.61	.16	3.50	3.30
	6	.45	.64	7.11	6.10	4.32	.25	3.71	.14	3.16	3.41
	7	.50	.97	7.28	6.35	4.22	.30	7.89	.13	2.82	3.57
	8	.69	1.48	7.43	6.60	4.12	.37	7.94	.13	2.46	3.77
	9	.68	2.14	7.57	6.85	4.00	.45	7.96	.14	2.12	4.01
	10	.67	2.93	7.70	7.11	3.87	.55	7.95	.15	1.79	4.29
	11	.65	3.81	7.82	7.39	3.74	.65	7.91	.18	1.47	4.58
	12	.64	4.73	7.94	7.67	3.61	.77	7.83	.22	.92	4.89
	13	.62	5.66	8.05	7.96	3.47	.89	7.72	.27	.93	5.19
	14	.60	6.57	8.15	8.26	3.34	1.00	7.58	.33	.93	5.46
	15	.58	7.43	8.25	8.58	3.20	2.54	7.41	.40	.95	5.71
	16	.57	8.22	8.32	8.90	2.53	2.64	7.23	.49	.97	5.91
	17	.55	9.25	8.39	9.25	2.56	2.75	7.03	.59	1.00	6.08
	18	.52	9.29	8.44	9.60	2.60	2.87	6.82	.70	1.04	6.19
	19	.49	9.32	8.47	9.96	2.63	2.99	6.61	.81	1.08	6.26
	20	.47	9.33	8.49	10.33	2.68	3.12	6.38	.94	1.13	3.71
	21	.44	9.33	8.49	10.71	2.73	3.26	6.22	1.07	1.19	3.72
	22	.41	9.31	8.48	11.08	2.80	3.41	6.33	1.21	1.25	3.71
	23	.38	9.27	6.07	11.44	2.87	3.57	6.37	1.35	1.32	3.70
	24	.35	9.21	5.90	11.80	2.97	3.74	6.32	1.49	1.39	3.66
	25	.32	9.13	5.72	12.14	3.07	3.92	6.19	1.63	1.46	3.62
	26	.29	9.02	5.53	12.47	3.19	4.11	5.97	1.77	1.52	3.56
	27	.26	8.90	5.32	12.79	3.33	4.31	5.67	1.90	1.59	3.49
	28	.23	8.74	5.10	13.07	3.47	4.52	5.29	2.03	1.65	3.40
	29	.21	8.57	4.87	13.33	3.63	4.74	6.74	2.14	1.71	3.30
	30	.18	8.37	4.62	13.56	2.86	4.96	7.00	2.25	1.76	3.19
	31	.16	8.14	4.35	13.77	2.13	5.19	7.26	2.35	1.80	3.07
	32	.14	7.89	4.08	13.94	1.41	5.43	7.53	2.44	1.83	2.96
	33	.12	7.62	3.79	14.09	.81	5.66	7.80	2.49	1.86	2.86
	34	.10	7.34	3.49	14.21	1.03	5.90	8.06	2.55	1.88	2.77
	35	.09	7.03	3.19	14.30	1.17	6.12	8.31	2.58	1.90	5.81
	36	.08	6.71	2.89	14.36	1.30	6.34	8.53	2.60	1.91	6.14
	37	.06	6.39	2.59	14.40	1.43	6.56	8.73	2.60	2.03	6.48
	38	.06	6.05	2.30	14.40	1.55	6.75	8.90	2.59	2.04	6.84
	39	.05	5.71	2.02	14.39	1.65	6.94	9.02	2.54	2.03	7.22
	40	.05	5.37	1.79	14.35	1.72	7.11	9.09	2.49	2.00	7.63
	41	.05	5.03	1.57	14.28	1.77	7.26	5.83	2.41	1.97	8.04
	42	1.14	4.69	1.19	14.20	1.80	7.40	6.18	2.31	1.91	8.46
	43	1.32	4.37	1.10	14.09	1.81	7.51	6.51	2.21	1.85	8.89
	44	1.53	4.06	1.00	13.97	1.80	7.61	6.81	6.88	1.79	9.32
	45	1.75	3.76	.89	13.84	1.78	7.68	7.07	6.71	1.71	9.74
	46	2.01	3.47	.82	13.69	1.75	5.95	7.32	6.54	1.63	11.05
	47	2.28	3.20	.74	13.53	1.62	5.93	7.51	6.38	1.56	12.28
	48	2.58	2.95	.66	13.36	1.57	5.93	7.67	6.22	1.48	13.44
	49	2.90	2.72	.60	9.79	1.52	10.49	7.78	6.07	1.40	14.51
	50	3.24	2.50	.53	10.04	1.46	10.76	7.85	5.93	2.55	15.47
	51	3.59	2.30	.47	10.28	1.40	11.02	7.88	5.81	2.64	16.30
	52	3.95	2.12	.43	10.49	1.33	11.28	7.87	5.70	2.74	16.99
	53	4.32	1.95	.38	10.68	1.26	11.53	7.82	5.60	2.85	17.55
	54	4.69	1.79	2.44	10.84	1.19	11.75	7.73	5.52	2.95	24.62
	55	5.05	1.65	3.44	10.97	1.11	11.96	7.61	5.45	3.04	24.90
	56	5.39	.35	4.33	11.07	1.03	12.14	7.46	5.39	3.11	25.13
	57	5.73	.36	4.77	11.13	.94	12.29	7.29	5.35	3.17	25.31
	58	6.03	.37	4.76	11.16	.86	12.41	7.09	5.32	3.52	25.41
	59	6.34	.39	4.68	11.16	.78	12.48	6.88	5.30	4.01	25.42
	60	6.60	.41	4.53	11.11	.71	11.24	6.65	5.29	4.59	25.31
	61	6.85	.44	4.30	11.04	.64	11.12	6.41	5.30	5.23	25.05
	62	7.07	.47	4.00	10.91	.58	10.97	3.96	5.32	5.91	24.64
	63	7.26	.51	3.65	10.76	.52	10.80	3.80	5.34	6.59	24.06
	64	7.42	.55	3.27	10.58	.63	10.61	3.63	5.38	7.25	23.30
	65	7.57	.60	2.88	10.36	.63	10.39	3.43	5.43	7.87	22.37
	66	7.68	.65	3.37	10.12	.63	10.17	3.20	5.49	8.45	21.28
	67	7.77	.71	2.92	9.85	.63	9.92	2.96	5.56	8.98	20.06
	68	7.84	.76	2.44	9.57	.62	9.66	2.71	5.63	9.45	15.42
	69	7.88	.83	1.97	8.76	.62	9.39	2.47	5.72	11.89	15.50
	70	7.91	.89	1.54	8.38	.62	9.11	2.23	5.81	12.21	15.54
	71	7.91	.95	1.19	8.00	.62	8.83	2.01	5.90	12.45	15.55
	72	7.90	1.01	.96	7.60	.61	8.54	1.81	6.00	12.60	15.51
	73	7.88	1.07	.83	7.22	.61	8.25	1.20	6.11	12.68	15.44
	74	7.62	1.12	.52	6.86	.61	7.97	.88	1.52	12.66	15.33
	75	8.70	1.18	.52	6.52	.60	7.68	.58	1.56	12.56	15.18
	76	9.73	1.23	.53	6.21	.60	7.40	.34	1.60	12.39	15.00
	77	10.67	1.27	.54	5.94	.59	7.13	.16	1.64	12.13	14.78
	78	11.44	1.51	.56	5.66	.59	6.86	.06	1.68	11.79	14.54
	79	12.05	1.70	.59	5.36	.58	6.60	.02	1.71	11.38	14.26
	80	12.48	1.89	.62	5.04	.57	6.35	.06	1.75	10.90	13.96
	81	12.71	1.78	.66	4.70	.57	6.11	.22	1.78	10.37	13.64
	82	12.72	1.58	.70	4.34	.56	5.87	.27	1.81	9.79	13.30
	83	12.49	1.37	.75	3.97	.55	5.64	.33	1.83	9.16	12.95
	84	13.68	1.15	.81	3.60	.54	.95	.39	1.85	7.83	12.59
	85	10.91	.93	.87	3.22	.52	.58	.44	1.87	7.37	12.23
	86	10.68	.73	.93	2.85	.51	.32	.49	1.87	7.16	11.86
	87	10.44	.54	1.00	2.49	.49	.24	.54	1.87	6.81	11.49
	88	10.20	.39	1.08	2.16	.47	.26	.57	1.87	6.43	11.13
	89	9.95	.26	1.16	1.84	.44	.29	.59	1.86	6.01	10.77
	90	9.70	.17	1.23	1.55	.43	.33	.61	1.84	5.57	10.41
	91	9.43	.16	1.31	1.28	.40	.39	.62	1.81	5.10	10.06
	92	9.17	.24	1.38	1.05	.37	.45	.63	1.78	4.62	9.70
	93	8.90	.35	1.46	.84	.34	.52	.64	1.75	4.13	9.36
	94	8.62	.48	1.53	.65	.31	.61	.65	1.71	3.65	9.02
	95	8.34	.62	1.61	.86	.27	.71	.67	1.67	3.18	3.84
	96	8.05	.77	1.68	1.19	.24	.82	.69	2.07	2.75	3.46
	97	7.76	.92	.65	1.64	.20	.94	.71	2.26	2.35	3.10
	98	7.46	1.08	.74	2.15	1.39	1.07	.73	2.44	1.82	2.76
	99	7.16	1.15	.84	2.69	1.35	1.21	.75	2.64	2.09	2.44
	100	6.86	1.04	.94	2.96	1.31	1.36	.77	2.83	2.34	2.16
	101	6.56	.93	1.04	3.02	1.27	1.51	.79	3.04	2.56	1.90
	102	6.25	.82	1.15	3.00	1.24	1.66	.81	3.24	.70	1.66
	103	5.95	.72	1.32	8.77	1.21	3.04	.83	3.43	.78	1.46
	104	5.64	.64	1.34	9.52	1.17	3.76	.85	3.63	.85	1.28
	105	5.34	.58	1.37	10.28	1.14	4.48	.86	3.81	.89	1.13
	106	5.04	.54	1.39	11.05	1.11	5.08	.88	4.00	.91	1.01
	107	4.75	.53	1.41	11.80	1.08	5.51	.89	7.77	.89	.90
