loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.80	6.37	7.01	7.36	1.00	1.32	1.65	2.30	.50	2.79
	1	.84	6.61	7.17	7.35	1.27	1.53	1.83	2.19	.53	2.94
	2	.87	6.81	7.32	7.33	1.57	1.80	2.01	2.09	.55	3.01
	3	.90	6.95	7.46	7.32	1.89	2.12	2.19	1.98	.55	3.00
	4	.92	7.03	7.58	7.30	2.23	2.45	2.37	1.88	.84	2.89
	5	.94	7.02	7.69	7.27	2.58	2.80	2.55	1.77	.89	2.71
	6	.96	6.93	7.78	7.25	2.94	3.15	2.74	1.67	1.07	2.41
	7	.97	6.75	7.85	7.22	3.30	3.32	5.18	1.57	1.36	2.10
	8	2.99	6.49	7.89	7.18	3.65	3.43	5.46	1.46	1.76	1.80
	9	3.01	6.15	7.90	7.14	3.98	3.52	5.71	1.37	2.23	1.52
	10	3.03	5.75	7.89	7.10	4.29	3.58	5.93	1.27	2.74	1.26
	11	3.05	5.30	7.84	7.05	4.57	3.61	6.11	1.17	3.25	1.03
	12	3.07	4.83	7.76	7.00	4.82	3.60	6.24	1.08	3.58	.84
	13	3.09	4.34	7.64	6.94	5.03	3.56	6.31	.99	3.61	.70
	14	3.10	3.88	7.49	6.88	5.19	3.49	6.33	.91	3.62	.61
	15	3.12	3.45	7.30	6.81	5.32	2.24	6.28	.83	3.62	.56
	16	3.13	3.06	7.07	6.73	4.10	2.24	6.19	.76	3.61	.55
	17	3.14	2.77	6.81	6.65	4.07	2.25	6.05	.69	3.59	.58
	18	3.15	2.72	6.52	6.57	4.02	2.27	5.87	.63	3.55	.63
	19	3.16	2.67	6.20	6.47	3.95	2.29	5.66	.57	3.50	.69
	20	3.16	2.61	5.86	6.37	3.85	2.33	5.43	.52	3.43	.80
	21	3.16	2.55	5.51	6.27	3.73	2.38	5.31	.48	3.34	.82
	22	3.16	2.49	5.14	6.16	3.60	2.43	5.66	.45	3.25	.84
