loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.52	8.92	.79	3.01	.87	5.35	2.64	4.22	3.29	2.47
	1	.53	9.16	.87	3.13	.73	5.22	2.61	4.16	3.22	2.40
	2	.53	9.35	.96	3.25	.59	5.08	2.56	4.10	3.11	2.28
	3	.53	9.50	1.05	3.37	.45	4.91	2.49	4.04	2.99	2.11
	4	.53	9.59	1.14	3.50	.33	4.74	2.43	3.97	1.77	1.91
	5	.53	9.61	1.25	3.64	.23	4.54	2.38	3.90	1.73	1.75
	6	.53	9.58	1.35	3.78	.14	4.34	2.34	3.82	1.66	1.57
	7	.53	9.47	1.46	3.92	.08	4.11	.84	3.74	1.54	1.37
	8	.40	9.30	1.57	4.07	.04	3.86	.65	3.66	1.40	1.18
	9	.42	9.07	1.69	4.23	.03	3.59	.48	3.56	1.25	.99
	10	.46	8.77	1.81	4.39	.04	3.31	.33	3.47	1.10	.82
	11	.49	8.43	1.93	4.55	.08	3.02	.22	3.37	.95	.65
	12	.53	8.04	2.04	4.72	.13	2.73	.15	3.26	.27	.51
	13	.57	7.62	2.16	4.89	.20	2.44	.13	3.15	.28	.40
	14	.61	7.17	2.27	5.06	.28	2.16	.17	3.03	.30	.31
	15	.65	6.72	2.37	5.23	.37	.24	.27	2.91	.34	.25
	16	.70	6.27	2.47	5.40	.68	.29	.42	2.78	.38	.22
	17	.74	6.61	2.57	5.57	.76	.36	.61	2.65	.44	.22
	18	.79	6.46	2.66	5.73	.85	.45	.85	2.51	.51	.24
	19	.84	6.31	2.74	5.89	.94	.55	1.11	2.38	.60	.29
	20	.89	6.15	2.82	6.05	1.04	.68	1.39	2.24	.70	.19
	21	.94	5.99	2.90	6.20	1.15	.84	1.63	2.10	.81	.19
	22	.99	5.82	2.98	6.34	1.26	1.01	1.73	1.96	.94	.19
	23	1.04	5.64	5.80	6.48	1.37	1.22	1.82	1.82	1.08	.18
	24	1.09	5.46	5.89	6.61	1.49	1.44	1.90	1.69	1.23	.17
	25	1.14	5.27	5.97	6.73	1.62	1.69	1.95	1.56	1.40	.15
	26	1.19	5.07	6.04	6.83	1.75	1.96	1.99	1.43	1.57	.13
	27	1.24	4.87	6.10	6.93	1.87	2.25	2.00	1.31	1.75	.11
	28	1.29	4.67	6.15	7.02	2.00	2.55	2.00	1.19	1.94	.08
	29	1.34	4.46	6.18	7.09	2.13	2.86	2.02	1.08	2.12	.06
	30	1.39	4.24	6.19	7.16	2.08	3.18	2.22	.98	2.31	.04
	31	1.44	4.02	6.19	7.21	1.29	3.51	2.44	.88	2.49	.03
	32	1.50	3.80	6.16	7.25	.74	3.83	2.68	.80	2.66	.03
	33	1.55	3.58	6.10	7.28	.57	4.15	2.94	.72	2.83	.04
	34	1.60	3.36	6.02	7.30	1.43	4.46	3.23	.65	3.00	.07
	35	1.66	3.13	5.90	7.31	1.73	4.76	3.55	.59	3.15	3.22
	36	1.71	2.91	5.76	7.31	2.05	5.05	3.90	.53	3.29	3.86
	37	1.77	2.68	5.59	7.30	2.41	5.32	4.29	.48	8.30	4.57
	38	1.82	2.46	5.38	7.28	2.78	5.58	4.72	.45	8.89	5.35
	39	1.88	2.25	5.15	7.25	3.16	5.82	5.20	.42	9.45	6.19
	40	1.93	2.03	4.90	7.22	3.52	6.04	5.72	.39	9.96	7.06
	41	1.99	1.83	4.62	7.17	3.85	6.24	7.99	.38	10.43	7.96
	42	4.41	1.63	7.33	7.12	4.15	6.42	7.87	.39	10.83	8.87
	43	4.50	1.44	7.50	7.07	4.42	6.58	7.73	.40	11.16	9.78
	44	4.59	1.26	7.61	7.01	4.65	6.72	7.56	2.04	11.42	10.67
	45	4.67	1.09	7.68	6.94	4.84	6.84	7.36	1.93	11.60	11.53
	46	4.76	.93	7.69	6.87	4.99	7.37	7.13	1.84	11.71	10.94
	47	4.83	.78	7.66	6.79	4.86	6.70	6.87	1.77	11.74	11.52
	48	4.91	.64	7.58	6.71	4.81	5.96	6.59	1.71	11.71	12.05
	49	4.97	.52	7.45	4.22	4.74	10.40	6.30	1.68	11.61	12.51
	50	5.03	.41	7.29	4.29	4.66	10.71	5.98	1.65	10.69	12.92
	51	5.09	.32	7.09	4.36	4.55	11.01	5.66	1.63	10.30	13.26
	52	5.14	.24	6.86	4.41	4.43	11.29	5.33	1.62	9.84	13.52
	53	5.18	.17	6.62	4.44	4.29	11.55	5.00	1.62	9.30	13.72
	54	5.21	.12	3.23	4.46	4.12	11.78	4.68	1.63	8.70	20.65
	55	5.24	.08	3.53	4.45	3.94	11.99	4.37	1.64	8.06	21.81
	56	5.25	.43	3.72	4.42	3.74	12.17	4.08	1.65	7.38	22.82
	57	5.26	.47	3.92	4.36	3.53	12.32	3.81	1.67	6.68	23.67
	58	5.27	.54	4.17	4.26	3.30	12.44	3.57	1.69	5.19	24.34
	59	5.26	.63	4.39	4.13	3.06	12.52	3.35	1.71	4.95	24.83
	60	5.24	.76	4.57	3.96	2.81	15.29	3.17	1.74	4.75	25.14
	61	5.22	.92	4.70	3.76	2.57	15.41	3.01	1.77	4.59	25.26
	62	5.19	1.10	4.79	3.53	2.33	15.51	3.14	1.80	4.47	25.20
	63	5.15	1.32	4.83	3.27	2.11	15.58	3.00	1.83	4.38	24.96
	64	5.11	1.56	4.82	3.00	1.00	15.62	2.83	1.87	4.32	24.54
	65	5.06	1.81	4.76	2.71	.98	15.62	2.64	1.90	4.27	23.96
	66	5.00	2.07	4.23	2.42	.96	15.60	2.44	1.94	4.22	23.23
	67	4.94	2.33	4.18	2.14	.95	15.55	2.23	1.98	4.17	22.38
	68	4.88	2.59	4.12	1.88	.93	15.47	2.01	2.02	4.11	19.13
	69	4.81	2.84	4.04	.29	.92	15.35	1.79	2.06	2.43	19.49
	70	4.74	3.07	3.94	.25	.92	15.21	1.58	2.10	2.30	19.83
	71	4.66	3.29	3.83	.21	.91	15.04	1.37	2.14	2.15	20.12
	72	4.59	3.50	3.71	.17	.91	14.84	1.17	2.18	1.98	20.37
	73	4.51	3.68	3.56	.14	.91	14.62	.92	2.22	1.80	20.57
	74	2.07	3.85	.86	.11	.91	14.37	.87	1.05	1.60	20.71
	75	2.76	4.01	.75	.09	.92	14.11	.80	.98	1.39	20.80
	76	3.57	4.15	.64	.08	.93	13.82	.74	.91	1.18	20.82
	77	4.43	4.27	.54	.06	.94	13.51	.67	.83	.98	20.78
	78	5.29	4.76	.45	.04	.95	13.20	.62	.75	.79	20.67
	79	6.11	4.91	.38	.02	.97	12.87	.58	.68	.62	20.50
	80	6.85	5.05	.31	.01	.99	12.53	.55	.60	.47	20.27
	81	7.50	5.60	.25	.00	1.01	12.20	.65	.52	.35	19.97
	82	8.03	5.77	.20	.00	1.04	11.86	.65	.45	.25	19.61
	83	8.45	5.90	.16	.01	1.06	11.52	.65	.38	.19	19.19
	84	9.05	6.00	.14	.02	1.09	4.13	.65	.32	1.27	18.71
	85	1.65	6.05	.12	.05	1.11	3.94	.65	.26	.88	18.19
	86	1.46	6.05	.11	.08	1.14	3.88	.65	.21	.80	17.61
	87	1.28	5.98	.11	.12	1.17	3.69	.66	.18	.91	17.00
	88	1.10	5.86	.11	.16	1.19	3.60	.67	.15	1.03	16.35
	89	.94	5.66	.13	.22	1.22	3.48	.69	.13	1.18	15.67
	90	.78	5.41	.14	.28	1.24	3.33	.71	.13	1.33	14.98
	91	.64	6.59	.16	.35	1.26	3.16	.72	.13	1.50	14.27
	92	.51	6.29	.19	.43	1.28	2.97	.72	.14	1.66	13.55
	93	.39	5.91	.22	.52	1.30	2.77	.72	.15	1.82	12.84
	94	.29	5.48	.25	1.46	1.31	2.55	.71	.17	1.97	12.13
	95	.21	5.00	.29	1.46	1.32	2.34	.70	.19	2.10	2.96
	96	.15	4.49	.33	1.48	1.33	2.12	.68	.95	2.21	2.70
	97	.11	3.99	2.44	1.53	1.34	1.91	.66	1.04	2.30	2.44
	98	.09	3.50	2.33	1.60	1.18	1.70	.64	1.12	1.99	2.18
	99	.10	3.15	2.21	1.68	1.17	1.51	.62	1.21	1.78	1.92
	100	.13	3.05	2.08	1.34	1.17	1.33	.60	1.29	1.57	1.66
	101	.19	2.93	1.95	1.24	1.16	1.16	.58	1.37	1.37	1.42
	102	.28	2.80	1.82	1.12	1.15	1.01	.57	1.45	.97	1.18
	103	.40	2.64	.23	3.01	1.14	.19	.57	1.53	1.16	.97
	104	.54	2.47	.21	3.05	1.12	.44	.58	1.60	1.35	.77
	105	.72	2.27	.19	3.09	1.11	.80	.60	1.66	1.52	.59
	106	.92	2.05	.19	3.12	1.09	1.27	.62	1.72	1.66	.44
	107	1.16	1.82	.18	3.15	1.06	1.82	.65	4.27	1.76	.31
	108	1.42	1.58	.19	3.17	1.04	2.42	.69	4.69	1.80	.21
	109	1.72	1.35	.21	3.19	1.01	3.06	.74	5.14	1.77	.19
	110	2.03	.47	.24	3.20	.98	3.46	.32	5.62	1.61	.23
	111	2.38	.41	.27	3.21	.94	3.78	.32	6.11	1.41	.28
	112	2.74	.34	.32	3.21	.90	4.08	.42	6.60	1.22	.34
	113	3.13	.28	.38	3.21	.86	4.36	.61	7.09	1.06	.40
	114	3.53	.23	.46	3.19	.81	4.61	.88	7.56	.94	.47
	115	3.96	.18	.55	3.17	.77	4.81	1.17	8.00	.89	.55
	116	4.39	.14	.64	3.15	.72	4.98	.00	8.41	.59	.63
	117	4.84	.05	.76	3.12	.27	5.10	.00	8.77	.61	.71
	118	5.30	.06	.88	3.08	.25	5.17	.00	9.09	.64	.80
	119	5.77	.07	1.02	3.03	.24	5.19	.00	9.36	.66	.89
	120	6.24	.08	1.17	2.99	.23	5.15	.00	9.58	.69	.98
	121	6.72	.10	1.33	2.93	.23	5.06	.00	9.75	.71	1.07
	122	7.20	.11	1.49	2.88	.22	4.92	.00	9.87	.73	1.17
	123	7.68	.13	1.67	2.82	.22	4.72	.00	9.95	.74	1.26
	124	8.16	.15	1.84	2.77	.23	4.49	.00	9.99	.76	1.35
	125	8.63	.17	2.03	2.71	.23	3.10	.00	9.99	.77	1.44
	126	9.10	.20	2.21	2.66	.24	3.30	.00	9.97	.77	1.54
	127	9.57	.23	2.40	2.60	.25	3.49	.00	7.91	.77	1.63
	128	17.60	.25	2.58	2.27	.28	3.67	.00	7.75	.77	1.71
	129	17.55	.28	2.77	3.05	.32	3.83	.00	7.54	.76	1.80
	130	17.47	.32	2.95	3.76	.35	3.96	.00	7.27	.75	1.88
	131	17.36	.35	3.13	4.33	.50	4.06	.00	6.97	.74	1.96
	132	17.23	.38	3.31	4.75	.33	4.14	.00	6.63	.72	2.04
	133	17.07	.42	3.49	4.87	.17	4.18	.00	6.25	.71	2.11
	134	16.82	.45	3.66	6.33	.06	4.20	.00	5.85	.69	2.18
	135	16.29	.49	3.83	7.29	.00	4.18	.00	5.43	.67	2.25
	136	15.54	.52	3.99	7.78	.02	4.13	.00	4.99	.00	2.31
	137	14.60	.55	4.15	8.41	.13	4.04	.00	4.56	.00	2.37
	138	13.51	.59	4.31	8.28	.34	3.94	.00	4.14	.00	2.43
	139	12.29	.62	4.68	8.09	.65	3.80	.00	3.73	.00	.00
	140	10.98	.65	5.32	7.83	1.04	3.65	.00	3.03	.00	.00
	141	9.80	1.41	5.30	7.49	1.49	3.47	.00	3.15	.00	.00
	142	6.38	1.43	5.27	7.06	1.98	3.29	.00	3.27	.00	.00
	143	5.68	1.44	5.24	6.54	2.48	3.10	.00	3.40	.00	.00
	144	4.94	1.43	5.20	5.94	2.99	2.90	.00	3.53	.00	.00
	145	4.16	1.41	5.16	5.29	3.48	2.72	.00	3.66	.00	.00
	146	3.39	1.37	5.11	5.25	3.95	2.54	.00	3.79	.00	.00
	147	2.66	1.42	5.06	5.24	4.39	2.37	.00	3.91	.00	.00
	148	1.99	1.42	5.00	5.19	1.50	2.22	.00	4.01	.00	.00
	149	1.43	1.36	4.94	5.11	1.46	2.09	.00	4.11	.00	.00
	150	1.26	1.26	4.86	5.00	1.42	1.99	.00	3.37	.00	.00
	151	1.16	1.82	4.78	4.86	1.39	1.90	.00	3.55	.00	.00
	152	1.07	1.81	4.69	4.69	1.36	1.83	.00	3.78	.00	.00
	153	.98	1.79	4.59	4.50	1.34	1.79	.00	4.06	.00	.00
	154	.89	1.77	4.48	4.30	1.34	1.77	.00	4.38	.00	.00
	155	.79	1.75	4.36	4.09	1.34	1.76	.00	4.75	.00	.00
	156	.70	1.72	4.23	3.88	1.37	1.78	.00	5.14	.00	.00
	157	.62	2.13	4.09	3.68	1.41	1.81	.00	5.54	.00	.00
	158	.53	2.20	3.93	3.49	1.48	1.86	.00	5.94	.00	.00
	159	.45	2.26	3.77	3.31	1.57	.00	.00	6.34	.00	.00
	160	.38	2.32	3.60	3.15	1.69	.00	.00	6.72	.00	.00
	161	.31	2.39	3.43	3.00	1.83	.00	.00	7.08	.00	.00
	162	.24	2.45	3.24	2.88	2.01	.00	.00	7.42	.00	.00
	163	.18	2.52	3.05	2.78	2.21	.00	.00	7.72	.00	.00
	164	.13	2.58	2.85	2.69	2.43	.00	.00	8.00	.00	.00
	165	.09	2.64	2.66	2.62	2.67	.00	.00	9.45	.00	.00
	166	.06	2.70	2.45	2.56	2.92	.00	.00	9.21	.00	.00
	167	.04	2.75	2.26	2.51	3.18	.00	.00	8.91	.00	.00
	168	.02	2.80	2.06	.00	3.45	.00	.00	8.52	.00	.00
	169	.01	2.85	1.86	.00	3.72	.00	.00	8.06	.00	.00
