loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.01	1.99	3.03	15.39	4.25	.33	2.16	.07	6.26	11.27
	1	.01	2.02	3.09	15.57	4.18	.46	2.23	.07	6.29	9.95
	2	.01	2.05	3.14	15.75	4.10	.60	2.31	.07	6.25	8.58
	3	.01	2.09	3.19	15.93	3.99	.76	2.40	.08	6.13	7.18
	4	.02	2.12	3.23	16.11	3.87	.92	2.49	.10	5.26	5.81
	5	.02	2.15	3.26	16.30	3.73	1.09	2.60	.12	4.79	6.15
	6	.03	2.17	3.29	16.48	3.58	1.25	2.72	.14	4.30	6.42
	7	.03	2.20	3.31	16.66	3.41	1.29	6.25	.18	3.82	6.69
	8	.32	2.21	3.33	16.84	3.23	1.30	6.29	.22	3.33	6.94
	9	.36	2.22	3.34	17.01	3.05	1.33	6.30	.27	2.86	7.18
	10	.40	2.23	3.34	17.18	2.86	1.36	6.26	.32	2.41	7.40
	11	.44	2.22	3.33	17.34	2.66	1.40	6.18	.38	1.99	7.59
	12	.49	2.20	3.32	17.49	2.47	1.44	6.06	.46	1.55	7.74
	13	.54	2.18	3.30	17.62	2.27	1.48	5.90	.54	1.52	7.85
	14	.59	2.15	3.28	17.74	2.09	1.52	5.70	.62	1.48	7.92
	15	.65	2.12	3.24	17.84	1.90	2.28	5.47	.72	1.44	7.95
	16	.71	2.07	3.19	17.93	4.17	2.32	5.21	.82	1.39	7.92
	17	.78	1.02	3.13	17.99	4.53	2.36	4.91	.93	1.33	7.83
	18	.85	.97	3.06	18.04	4.89	2.41	4.61	1.05	1.26	7.70
	19	.91	.92	2.98	18.06	5.24	2.46	4.29	1.18	1.19	7.51
	20	.98	.88	2.90	18.06	5.59	2.53	3.97	1.31	1.11	5.12
	21	1.05	.83	2.80	18.04	5.90	2.61	3.70	1.44	1.03	4.90
	22	1.11	.77	2.69	17.99	6.18	2.70	3.62	1.58	.95	4.66
	23	1.18	.72	1.83	17.92	6.43	2.81	3.51	1.71	.86	4.40
	24	1.25	.67	1.93	17.83	6.63	2.94	3.39	1.87	.78	4.13
	25	1.31	.61	2.03	17.72	6.79	3.08	3.24	2.02	.70	3.84
	26	1.36	.55	2.13	17.58	6.91	3.25	3.07	2.16	.63	3.54
	27	1.42	.50	2.24	17.42	6.99	3.44	2.88	2.30	.55	3.23
	28	1.47	.44	2.35	17.24	7.04	3.65	2.67	2.44	.49	2.92
	29	1.52	.38	2.46	17.04	7.05	3.88	2.87	2.57	.42	2.61
	30	1.56	.33	2.57	16.82	4.30	4.13	3.06	2.71	.36	2.30
	31	1.60	.28	2.68	16.59	4.26	4.40	3.28	2.84	.31	2.00
	32	1.64	.23	2.79	16.34	3.99	4.69	3.52	2.97	.26	1.72
	33	1.67	.18	2.90	16.07	3.54	5.00	3.79	3.07	.22	1.46
	34	1.69	.14	2.99	15.82	5.69	5.31	4.06	3.19	.18	1.23
	35	1.72	.10	3.10	15.53	6.21	5.63	4.34	3.29	.15	3.47
	36	1.74	.07	3.19	15.25	6.66	5.96	4.61	3.37	.12	3.51
	37	1.76	.04	3.28	14.96	7.01	6.28	4.86	3.45	.94	3.55
	38	1.78	.02	3.36	14.67	7.26	6.60	5.08	3.50	1.03	3.58
	39	1.79	.00	3.44	14.38	7.42	6.91	5.27	3.55	1.13	3.59
	40	1.81	.00	3.50	14.08	7.49	7.22	5.43	3.59	1.23	3.61
	41	1.82	.00	3.56	13.78	7.47	7.51	.89	3.60	1.34	3.62
	42	3.82	.01	4.32	13.48	7.39	7.78	.77	3.60	1.46	3.63
	43	4.17	.03	4.46	13.19	7.23	8.04	.68	3.57	1.57	3.64
	44	4.55	.06	4.62	12.89	7.05	8.29	.61	3.70	1.68	3.65
	45	4.97	.09	4.81	12.59	6.82	8.51	.57	3.41	1.79	3.66
	46	5.42	.12	5.01	12.30	6.58	8.92	.56	3.14	1.89	3.17
	47	5.90	.17	5.21	12.00	5.90	9.12	.59	2.87	1.98	3.85
	48	6.42	.22	5.38	11.71	6.11	8.70	.65	2.62	2.06	4.50
	49	6.96	.27	5.52	4.47	6.31	4.35	.75	2.40	2.13	5.08
	50	7.53	.33	5.64	4.64	6.48	4.25	.88	2.20	4.89	5.58
	51	8.10	.40	5.70	4.82	6.62	4.15	1.04	2.03	5.99	6.00
	52	8.67	.46	5.73	5.00	6.72	4.05	1.24	1.89	7.07	6.33
	53	9.23	.53	5.72	5.18	6.78	3.96	1.45	1.78	8.09	6.59
	54	9.76	.60	5.50	5.37	6.80	3.86	1.69	1.71	9.04	9.61
	55	10.25	.67	5.64	5.55	6.77	3.77	1.94	1.66	9.90	9.63
	56	10.69	.85	5.26	5.74	6.71	3.68	2.20	1.65	10.67	9.60
	57	11.08	.82	4.80	5.92	6.59	3.60	2.47	1.67	11.33	9.50
	58	11.41	.78	5.12	6.10	6.45	3.52	2.74	1.73	11.90	9.34
	59	11.67	.74	5.39	6.28	6.28	3.45	3.00	1.81	12.22	9.12
	60	11.87	.68	5.62	6.46	6.08	1.23	3.26	1.92	12.44	8.83
	61	12.00	.62	5.78	6.63	5.86	1.36	3.51	2.04	12.57	8.49
	62	12.06	.56	5.87	6.79	5.62	1.58	3.38	2.19	12.59	8.10
	63	12.06	.50	5.88	6.94	5.38	1.90	3.95	2.35	12.53	7.65
	64	12.00	.42	5.82	7.07	2.33	2.29	4.55	2.51	12.37	7.18
	65	11.88	.36	5.70	7.19	2.27	2.74	5.17	2.68	12.11	6.68
	66	11.71	.29	10.14	7.28	2.21	3.20	5.78	2.85	11.75	6.17
	67	11.50	.23	9.99	7.36	2.14	3.67	6.35	3.02	11.31	5.67
	68	11.24	.17	9.79	7.40	2.08	4.13	6.87	3.19	10.78	2.76
	69	10.97	.12	9.51	7.82	2.01	4.56	7.33	3.35	10.41	2.70
	70	10.67	.08	9.18	8.15	1.93	4.96	7.70	3.50	10.45	2.66
	71	10.36	.05	8.79	8.42	1.86	5.33	8.00	3.65	10.46	2.63
	72	10.06	.04	8.36	8.63	1.78	5.66	8.21	3.78	10.44	2.61
	73	9.75	.03	7.92	8.78	1.69	5.95	9.03	3.91	10.40	2.60
