loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.33	1.18	6.10	4.99	7.85	2.45	3.92	.85	7.24	3.48
	1	.32	.81	6.32	5.17	7.62	2.30	4.05	.89	6.72	3.80
	2	.32	.51	6.53	5.35	7.37	2.16	4.15	.94	6.20	4.05
	3	.32	.28	6.72	5.54	7.10	2.02	4.22	1.00	5.67	4.22
	4	.33	.17	6.90	5.72	6.81	1.90	4.26	1.07	6.50	4.30
	5	.35	.20	7.05	5.89	6.51	1.79	4.28	1.15	5.95	4.57
	6	.37	.41	7.17	6.06	6.19	1.70	4.27	1.23	5.37	4.71
	7	.40	.82	7.28	6.23	5.88	1.57	10.21	1.33	4.78	4.88
	8	.14	1.42	7.35	6.39	5.56	1.46	10.41	1.44	4.18	5.08
	9	.12	2.21	7.40	6.54	5.24	1.36	10.57	1.55	3.59	5.30
	10	.11	3.15	7.42	6.68	4.93	1.29	10.69	1.69	3.03	5.54
	11	.09	4.21	7.43	6.82	4.64	1.23	10.77	1.83	2.51	5.77
	12	.07	5.34	7.43	6.95	4.36	1.20	10.81	1.98	2.66	5.99
	13	.06	6.50	7.41	7.08	4.11	1.19	10.80	2.14	2.71	6.19
	14	.05	7.66	7.37	7.19	3.88	1.19	10.75	2.31	2.76	6.35
	15	.04	8.81	7.34	7.30	3.68	2.56	10.66	2.49	2.83	6.48
	16	.02	9.90	7.29	7.41	4.02	2.65	10.54	2.67	2.90	6.56
	17	.01	11.19	7.25	7.51	4.08	2.74	10.39	2.87	2.96	6.58
	18	.01	11.27	7.19	7.61	4.12	2.83	10.22	3.06	3.04	6.56
	19	.00	11.33	7.15	7.71	4.14	2.93	10.03	3.26	3.12	6.49
	20	.00	11.38	7.10	7.80	4.14	3.02	9.83	3.47	3.19	4.53
	21	.00	11.41	7.05	7.89	4.12	3.11	9.73	3.67	3.27	4.47
	22	.00	11.42	7.01	7.98	4.09	3.21	10.05	3.86	3.33	4.39
	23	.01	11.41	4.89	8.06	4.06	3.31	10.31	4.05	3.39	4.30
	24	.02	11.38	4.74	8.17	4.02	3.41	10.49	4.22	3.43	4.18
	25	.03	11.33	4.59	8.25	3.99	3.52	10.58	4.40	3.46	4.05
	26	.04	11.24	4.43	8.34	3.97	3.62	10.56	4.54	3.48	3.90
	27	.06	11.13	4.25	8.42	3.96	3.73	10.43	4.69	3.48	3.73
	28	.08	10.98	4.06	8.49	3.96	3.85	10.16	4.81	3.47	3.55
	29	.10	10.81	3.85	8.56	3.98	3.96	11.30	4.91	3.44	3.35
	30	.12	10.60	3.64	8.62	1.43	4.08	11.50	4.98	3.40	3.15
	31	.15	10.36	3.41	8.67	1.30	4.21	11.68	5.05	3.35	2.95
	32	.18	10.08	3.16	8.71	1.14	4.33	11.85	5.08	3.29	2.75
	33	.21	9.77	2.92	8.74	.99	4.45	12.00	5.10	3.22	2.56
	34	.24	9.42	2.66	8.76	1.27	4.57	12.12	5.08	3.14	2.39
	35	.28	9.06	2.39	8.77	1.33	4.68	12.20	5.04	3.06	4.43
	36	.32	8.66	2.13	8.76	1.38	4.80	12.23	4.99	2.98	4.58
	37	.36	8.24	1.87	8.75	1.42	4.90	12.21	4.91	.63	4.73
	38	.39	7.79	1.62	8.73	1.44	5.00	12.13	4.81	.57	4.88
	39	.43	7.34	1.38	8.69	1.45	5.09	11.98	4.70	.50	5.04
	40	.47	6.88	1.16	8.64	1.44	5.17	11.75	4.55	.43	5.19
	41	.51	6.41	.98	8.58	1.42	5.23	5.36	4.38	.37	5.35
	42	.35	5.94	.28	8.51	1.38	5.29	5.59	4.23	.30	5.52
	43	.43	5.48	.23	8.43	1.33	5.33	5.81	4.05	.24	5.69
	44	.53	5.04	.17	8.35	1.28	5.36	6.01	5.18	.19	5.86
	45	.66	4.61	.13	8.25	1.23	5.38	6.19	4.99	.14	6.03
	46	.81	4.20	.09	8.15	1.18	3.82	6.35	4.80	.10	7.19
	47	1.00	3.82	.06	8.05	1.12	3.94	6.48	4.61	.07	8.16
