loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	1.81	1.56	.99	1.83	3.35	3.13	.02	2.96	1.37	5.48
	1	1.79	1.75	.89	1.76	3.45	3.60	.04	2.97	1.44	5.64
	2	1.77	1.95	.79	1.70	3.54	4.05	.09	2.97	1.49	5.75
	3	1.73	2.16	.69	1.63	3.61	4.44	.16	2.97	1.53	5.81
	4	1.69	2.38	.60	1.56	3.67	4.78	.27	2.97	3.00	5.83
	5	1.65	2.60	.51	1.49	3.70	5.06	.39	2.97	2.95	6.02
	6	1.60	2.82	.42	1.42	3.70	5.29	.55	2.97	2.89	5.92
	7	1.55	3.04	.35	1.34	3.69	5.59	1.38	2.96	2.81	5.80
	8	.65	3.24	.28	1.27	3.66	5.87	1.45	2.96	2.71	5.67
	9	.58	3.43	.22	1.20	3.60	6.06	1.53	2.95	2.60	5.52
	10	.52	3.60	.16	1.13	3.53	6.12	1.60	2.94	2.47	5.36
	11	.45	3.74	.12	1.06	3.45	6.05	1.67	2.93	2.33	5.18
	12	.39	3.86	.08	1.00	3.35	5.80	1.74	2.92	3.28	4.99
	13	.33	3.96	.06	.95	3.24	5.38	1.80	2.91	3.36	4.78
	14	.27	4.03	.04	.91	3.12	4.80	1.85	2.89	3.44	4.57
	15	.22	4.08	.03	.88	3.00	10.79	1.88	2.87	3.52	4.35
	16	.17	4.11	.02	.87	5.59	10.87	1.91	2.85	3.60	4.13
	17	.13	4.88	.02	.88	5.72	10.94	1.92	2.83	3.67	3.90
	18	.09	4.95	.02	.91	5.84	11.00	1.93	2.81	3.75	3.68
	19	.06	5.01	.02	.96	5.92	11.05	1.92	2.78	3.82	3.47
	20	.04	5.06	.02	1.04	5.96	11.10	1.89	2.75	3.89	4.92
	21	.03	5.11	.03	1.14	5.97	11.13	1.85	2.71	3.96	4.87
	22	.02	5.14	.03	1.27	5.93	11.15	1.72	2.68	4.02	4.81
	23	.02	5.17	.14	1.44	5.85	11.16	1.58	2.64	4.08	4.74
	24	.03	5.19	.15	1.62	5.74	11.16	1.43	2.60	4.12	4.66
	25	.05	5.19	.17	1.83	5.60	11.15	1.27	2.55	4.16	4.57
	26	.08	5.19	.19	2.06	5.44	11.13	1.12	2.51	4.19	4.47
	27	.11	5.17	.21	2.30	5.27	11.09	.98	2.46	4.21	4.37
	28	.15	5.14	.24	2.56	5.12	11.05	.86	2.41	4.22	4.26
	29	.19	5.10	.27	2.82	4.98	10.99	1.12	2.35	4.21	4.15
	30	.24	5.05	.30	3.09	2.59	10.92	1.31	2.30	4.19	4.05
	31	.29	4.99	.34	3.36	3.72	10.83	1.51	2.24	4.17	3.94
	32	.35	4.91	.38	3.63	4.82	10.74	1.72	2.17	4.13	3.83
	33	.41	4.83	.42	3.89	5.75	10.63	1.93	2.11	4.08	3.73
	34	.47	4.74	.47	4.15	6.28	10.50	2.14	2.04	4.02	3.62
	35	.53	4.64	.52	4.40	6.28	10.37	2.33	1.98	3.95	1.24
	36	.59	4.54	.56	4.64	6.23	10.22	2.51	1.91	3.88	1.27
	37	.66	4.43	.61	4.86	6.15	10.05	2.65	1.83	1.73	1.29
	38	.72	4.31	.65	5.08	6.04	9.87	2.77	1.75	1.62	1.31
	39	.79	4.20	.70	5.28	5.90	9.68	2.86	1.68	1.50	1.33
	40	.85	4.09	.74	5.47	5.74	9.48	2.91	1.60	1.39	1.35
	41	.92	3.98	.78	5.64	5.57	9.26	1.96	1.51	1.29	1.37
	42	2.72	3.86	.60	5.80	5.40	9.03	2.01	1.42	1.19	1.39
