loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.20	1.22	1.68	1.63	.42	1.55	.59	.06	2.21	3.40
	1	.27	1.24	1.38	1.45	.57	1.50	.66	.07	2.13	3.62
	2	.40	1.32	1.10	1.28	.75	1.47	.74	.07	2.03	3.90
	3	.58	1.46	.86	1.11	.96	1.45	.82	.07	1.94	4.18
	4	.81	1.68	.66	.95	1.18	1.45	.91	.07	3.33	4.40
	5	1.05	2.00	.50	.80	1.40	1.44	1.00	.07	3.18	5.21
	6	1.29	2.40	.41	.65	1.63	1.44	1.09	.08	3.00	4.85
	7	1.51	2.90	.37	.52	1.84	1.55	1.02	.08	2.78	4.48
	8	2.35	3.48	.39	.40	2.04	1.67	.89	.08	2.55	4.10
	9	2.55	4.12	.47	.29	2.21	1.78	.77	.08	2.29	3.72
	10	2.77	4.81	.59	.20	2.36	1.86	.65	.09	2.03	3.33
	11	3.00	5.53	.75	.13	2.48	1.92	.54	.09	1.78	2.96
	12	3.25	6.26	.94	.09	2.58	1.93	.45	.09	2.25	2.61
	13	3.52	6.99	1.14	.06	2.66	1.92	.36	.09	2.28	2.28
	14	3.80	7.70	1.35	.07	2.72	1.88	.30	.10	2.31	1.99
	15	4.09	8.39	1.56	.10	2.76	4.10	.25	.10	2.34	1.75
	16	4.39	9.04	1.75	.17	4.22	4.16	.21	.10	2.37	1.55
	17	4.69	9.36	1.93	.27	4.42	4.22	.19	.10	2.41	1.40
	18	4.98	9.23	2.09	.41	4.62	4.29	.19	.11	2.45	1.30
	19	5.26	9.08	2.23	.59	4.81	4.35	.20	.11	2.49	1.23
	20	5.53	8.92	2.35	.81	4.98	4.42	.23	.11	2.53	1.57
	21	5.78	8.75	2.46	1.08	5.12	4.48	.27	.11	2.58	1.63
	22	6.00	8.57	2.55	1.38	5.24	4.54	.34	.12	2.64	1.69
	23	6.19	8.37	2.13	1.72	5.34	4.60	.43	.12	2.70	1.75
	24	6.35	8.15	2.11	2.10	5.40	4.65	.54	.12	2.77	1.80
	25	6.48	7.92	2.07	2.51	5.43	4.71	.65	.12	2.84	1.86
	26	6.57	7.68	2.03	2.95	5.44	4.75	.76	.12	2.92	1.91
	27	6.63	7.42	1.97	3.42	5.44	4.80	.87	.12	3.00	1.95
	28	6.65	7.14	1.90	3.91	5.42	4.83	.97	.12	3.09	2.00
	29	6.65	6.86	1.82	4.42	5.39	4.87	.52	.12	3.18	2.03
	30	6.61	6.56	1.73	4.95	4.81	4.89	.47	.12	3.27	2.06
