loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	2.17	4.25	2.75	4.90	22.15	1.32	1.09	1.33	10.79	2.59
	1	2.18	4.07	2.71	4.95	22.57	1.47	.92	1.35	10.55	2.32
	2	2.18	3.86	2.65	5.00	22.86	1.61	.79	1.36	10.27	2.04
	3	2.16	3.64	2.57	5.05	23.03	1.75	.69	1.39	9.96	1.77
	4	2.12	3.40	2.48	5.10	23.07	1.87	.62	1.41	6.92	1.50
	5	2.06	3.15	2.36	5.15	22.99	1.97	.56	1.43	6.43	1.23
	6	1.98	2.88	2.22	5.20	22.80	2.06	.52	1.46	5.85	1.41
	7	1.88	2.61	2.06	5.24	22.50	2.23	1.56	1.50	5.21	1.60
	8	3.01	2.34	1.88	5.29	22.09	2.43	1.73	1.53	4.53	1.81
	9	3.02	2.06	1.70	5.33	21.58	2.62	1.91	1.57	3.86	2.03
	10	3.03	1.79	1.51	5.37	20.96	2.78	2.10	1.60	3.26	2.26
	11	3.04	1.54	1.31	5.41	20.25	2.89	2.29	1.65	2.77	2.49
	12	3.04	1.29	1.12	5.45	19.44	2.95	2.48	1.69	.37	2.73
	13	3.05	1.07	.95	5.48	18.55	2.95	2.67	1.74	.33	2.97
	14	3.05	.86	.78	5.50	17.60	2.90	2.86	1.78	.30	3.20
	15	3.05	.68	.64	5.52	16.60	2.21	3.03	1.81	.27	3.43
	16	3.04	.52	.52	5.54	17.49	2.06	3.19	1.84	.24	3.65
	17	3.03	2.54	.43	5.54	17.66	1.92	3.32	1.87	.22	3.87
	18	3.02	2.66	.36	5.54	17.79	1.79	3.44	1.90	.19	4.07
	19	3.00	2.80	.32	5.53	17.86	1.68	3.53	1.91	.18	4.27
	20	2.98	2.94	.29	5.51	17.86	1.58	3.60	1.91	.17	4.32
	21	2.96	3.08	.30	5.48	17.79	1.51	3.73	1.91	.16	4.30
	22	2.93	3.22	.31	5.44	17.64	1.45	4.19	1.89	.16	4.26
	23	2.90	3.37	2.47	5.39	17.40	1.41	4.66	1.86	.17	4.18
	24	2.86	3.52	2.75	5.33	17.07	1.41	5.09	1.82	.19	4.08
	25	2.82	3.67	3.08	5.26	16.65	1.43	5.46	1.77	.21	3.95
	26	2.78	3.82	3.47	5.17	16.14	1.48	5.76	1.72	.24	3.79
	27	2.73	3.97	3.91	5.08	15.56	1.56	5.94	1.65	.28	3.60
	28	2.69	4.12	4.41	4.97	14.92	1.68	6.03	1.59	.32	3.38
	29	2.65	4.26	4.95	4.86	14.23	1.82	5.13	1.51	.37	3.14
	30	2.60	4.40	5.52	4.75	2.68	1.99	4.96	1.43	.43	2.90
	31	2.56	4.54	6.12	4.62	2.54	2.19	4.76	1.35	.49	2.65
	32	2.51	4.67	6.72	4.49	2.25	2.41	4.53	1.26	.56	2.41
	33	2.47	4.80	7.32	4.35	1.86	2.65	4.28	1.18	.63	2.19
	34	2.43	4.91	7.90	4.20	2.94	2.90	4.00	1.09	.71	1.98
	35	2.40	5.02	8.46	4.06	3.24	3.15	3.71	1.01	.78	1.52
	36	2.36	5.11	8.98	3.91	3.55	3.41	3.41	.92	.86	1.60
	37	2.33	5.20	9.45	3.76	3.87	3.66	3.10	.84	8.50	1.67
	38	2.30	5.27	9.88	3.61	4.18	3.91	2.80	.77	9.27	1.72
	39	2.26	5.33	10.25	3.46	4.47	4.15	2.50	.70	10.06	1.76
	40	2.24	5.37	10.55	3.31	4.73	4.38	2.22	.63	10.82	1.78
	41	2.21	5.41	10.79	3.17	4.96	4.59	1.07	.57	11.52	1.79
	42	1.84	5.43	27.29	3.02	5.15	4.78	1.03	.52	12.15	1.79
	43	1.97	5.43	29.26	2.88	5.30	4.95	.99	.47	12.72	1.79
	44	2.10	5.43	31.07	2.75	5.41	5.11	.96	2.04	13.20	1.78
	45	2.24	5.41	32.68	2.62	5.48	5.24	.92	2.12	13.62	1.77
	46	2.38	5.37	34.06	2.49	5.52	7.13	.88	2.19	13.97	1.39
	47	2.52	5.33	35.19	2.37	5.71	7.61	.85	2.28	14.26	1.32
	48	2.66	5.27	36.07	2.25	5.88	7.81	.82	2.36	14.49	1.21
	49	2.79	5.21	36.67	1.09	6.03	8.36	.79	2.45	14.66	1.08
	50	2.92	5.13	36.99	1.26	6.14	8.28	.77	2.55	26.77	.92
	51	3.04	5.05	36.98	1.45	6.23	8.19	.75	2.65	28.53	.76
	52	3.15	4.96	36.55	1.66	6.27	8.09	.74	2.76	29.77	.60
	53	3.23	4.87	35.49	1.89	6.28	7.99	.73	2.87	30.61	.46
	54	3.30	4.77	34.00	2.14	6.23	7.87	.72	2.99	31.12	2.24
	55	3.35	4.67	32.97	2.40	6.15	7.74	.71	3.11	31.35	2.37
	56	3.38	1.97	31.41	2.69	6.02	7.59	.72	3.24	31.31	2.50
	57	3.38	2.11	29.82	3.00	5.84	7.42	.72	3.36	31.04	2.62
	58	3.37	2.27	30.54	3.32	5.63	7.24	.73	3.49	33.63	2.73
	59	3.33	2.42	30.91	3.65	5.39	7.02	.74	3.61	35.00	2.83
	60	3.27	2.57	31.01	3.99	5.12	7.52	.75	3.72	35.85	2.92
	61	3.20	2.71	30.84	4.34	4.84	7.27	.77	3.82	36.35	2.99
	62	3.11	2.85	30.39	4.68	4.54	7.02	.83	3.91	36.58	3.05
	63	3.01	2.97	29.64	5.03	4.24	6.78	.91	3.99	36.60	3.09
	64	2.91	3.06	28.50	5.37	1.21	6.54	1.03	4.06	36.42	3.12
	65	2.80	3.13	26.79	5.71	1.16	6.33	1.18	4.11	36.03	3.14
	66	2.68	3.18	30.53	6.03	1.12	6.13	1.37	4.15	35.42	3.14
	67	2.57	3.19	30.88	6.33	1.09	5.96	1.59	4.17	34.56	3.14
	68	2.45	3.16	31.17	6.62	1.05	5.83	1.83	4.19	33.42	6.24
	69	2.34	3.11	31.38	8.87	1.02	5.73	2.07	4.19	29.50	6.50
	70	2.23	3.02	31.51	8.87	1.00	5.67	2.31	4.18	29.93	6.76
	71	2.13	2.91	31.54	8.85	.99	5.64	2.55	4.16	30.26	7.03
	72	2.03	2.77	31.48	8.83	.98	5.63	2.78	4.14	30.47	7.29
	73	1.93	2.61	31.30	8.80	.98	5.65	3.37	4.11	30.55	7.55
	74	.75	2.44	12.33	8.78	.99	5.67	3.03	1.05	30.49	7.80
	75	.90	2.26	12.23	8.76	1.01	5.70	2.63	1.16	30.30	8.05
	76	1.04	2.08	12.09	8.76	1.05	5.71	2.19	1.28	29.96	8.29
	77	1.19	1.90	11.90	8.72	1.09	5.72	1.74	1.41	29.46	8.51
	78	1.33	3.44	11.68	8.55	1.14	5.71	1.32	1.55	28.80	8.72
	79	1.45	3.33	11.43	8.34	1.20	5.69	.96	1.70	27.95	8.92
	80	1.55	3.29	11.14	8.09	1.28	5.64	.68	1.86	26.90	9.09
