loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.06	4.42	3.90	.18	4.16	7.24	.98	2.96	.89	4.67
	1	.26	4.25	4.25	.08	3.74	7.31	.99	2.64	1.13	4.73
	2	1.20	4.08	4.63	.02	3.31	7.37	1.01	2.32	1.36	4.76
	3	1.26	3.91	5.02	.00	2.89	7.42	1.02	2.02	1.53	4.78
	4	1.33	3.73	5.44	.03	2.48	7.44	1.04	1.91	1.65	4.79
	5	1.40	3.54	5.87	.12	2.09	7.44	1.05	1.95	1.69	4.78
	6	1.48	3.35	6.32	.25	1.71	7.42	1.06	1.98	1.72	4.76
	7	1.58	3.16	6.78	.44	1.36	7.38	1.07	2.01	1.71	4.74
	8	1.68	2.96	7.23	.68	1.04	7.31	1.08	2.05	1.68	4.70
	9	1.80	2.76	7.69	.96	.76	7.22	1.08	2.07	1.26	4.67
	10	1.92	2.56	8.14	1.26	.52	7.11	1.08	2.10	1.27	4.63
	11	2.07	2.35	8.57	1.60	.33	6.97	1.07	2.12	1.28	4.58
	12	2.22	2.15	8.99	1.94	.18	6.81	1.06	2.13	1.29	4.53
	13	2.39	1.94	9.40	2.23	.09	6.63	1.04	6.00	1.29	4.46
	14	2.58	1.74	9.78	2.22	.04	6.43	1.03	6.22	1.29	4.38
	15	2.78	1.54	10.14	2.20	.04	6.21	1.00	6.45	1.29	4.60
	16	2.99	1.34	10.48	2.18	.08	5.98	.98	6.70	1.28	4.53
	17	3.22	1.16	10.79	2.15	.15	5.74	.96	6.96	1.27	4.44
	18	3.45	.97	11.08	2.10	.24	5.49	.93	7.24	1.26	4.32
	19	3.70	.81	11.34	2.05	.36	6.39	.91	7.54	1.24	4.18
	20	3.94	.65	11.57	1.99	.48	6.27	.89	7.86	1.22	4.03
	21	4.19	.51	11.90	1.92	.61	6.14	.87	8.19	1.19	3.86
	22	4.44	.39	11.74	1.84	.74	6.01	.85	8.53	1.16	3.68
	23	4.69	.28	11.57	1.75	.86	5.88	.84	8.88	1.12	3.51
	24	4.92	.20	11.38	1.66	.97	5.74	.83	9.24	1.07	3.32
	25	5.15	.14	11.18	1.55	1.06	5.59	.82	9.60	1.03	3.14
	26	5.36	.09	10.95	1.45	1.14	5.44	.82	9.96	.98	2.96
	27	5.56	.07	10.71	1.34	1.21	5.29	1.09	10.31	.92	2.79
	28	5.74	.06	10.44	1.23	1.07	5.13	.93	10.66	.86	2.62
	29	5.91	.07	10.16	1.12	.86	4.97	.77	10.99	.80	2.45
	30	6.05	.10	9.85	1.01	.67	4.82	.63	11.30	.74	2.29
	31	6.17	.14	9.53	.91	.51	4.66	.51	11.60	.68	.33
	32	6.28	.19	9.19	.81	.37	4.50	.40	11.87	.61	.28
	33	6.36	.25	8.83	.73	.28	4.35	.33	12.11	.55	.24
	34	6.43	.32	8.45	.65	.24	4.20	.28	12.33	.49	.20
	35	6.48	.39	8.05	.58	.24	4.05	.28	12.52	.42	.17
	36	6.50	.47	7.64	.88	3.07	3.89	.31	12.68	.37	.14
	37	6.51	.55	7.22	.90	3.55	3.75	.38	12.81	.31	.13
	38	11.34	.63	6.79	.91	4.01	3.60	.50	12.91	.26	.13
	39	11.96	.71	6.36	.93	4.42	3.46	.66	12.97	.21	.14
	40	12.57	.80	5.92	.94	4.73	3.32	.85	13.01	.17	.15
	41	13.17	.88	5.49	.95	4.93	3.17	1.08	13.01	.13	.17
	42	13.74	.96	5.07	.96	5.00	3.04	1.33	12.97	.10	.19
	43	14.29	1.03	4.66	.96	4.94	2.91	1.61	12.91	.08	.22
	44	14.82	1.11	4.26	.96	4.73	2.79	1.89	12.81	.07	.24
	45	15.32	1.19	3.89	.96	4.66	2.67	2.19	12.68	.06	.40
	46	15.80	2.20	3.53	.95	4.62	2.25	3.00	12.52	.05	.54
	47	16.24	1.81	3.19	.93	4.58	2.04	3.17	12.34	.06	.73
	48	16.65	1.46	2.87	.91	4.55	1.83	3.36	12.12	.07	.97
	49	17.02	1.16	2.58	.89	4.52	1.63	3.56	11.89	.09	1.26
	50	17.36	.92	2.30	.86	4.50	1.43	3.78	11.63	.11	1.58
	51	17.65	.80	2.05	.82	4.47	1.25	4.02	11.35	.14	1.92
	52	17.90	.79	1.81	.79	5.68	1.09	4.26	11.06	.18	2.26
	53	18.11	.78	1.59	.75	5.93	.95	4.51	10.75	.22	2.57
	54	18.27	.77	1.38	.72	6.17	.84	4.78	7.45	.26	2.85
	55	18.37	.76	1.20	.68	6.39	.76	5.04	7.56	.31	3.09
	56	18.43	.75	1.02	.66	6.60	.71	5.31	7.68	.36	3.29
	57	18.44	.74	.87	.63	6.78	.68	5.58	7.79	.36	3.45
	58	18.41	.73	.73	.61	6.95	.68	5.84	7.83	.40	3.57
	59	18.32	.73	.51	.59	7.09	.71	6.10	7.79	.44	3.65
	60	18.18	.73	.39	.58	7.22	.14	6.34	7.68	.49	3.44
	61	17.99	.73	.46	.58	7.33	.21	6.57	7.51	.53	3.51
	62	17.76	.74	.80	.58	7.43	.32	6.78	7.30	.57	3.57
	63	17.49	.75	.90	.59	7.52	.45	6.96	7.06	.61	3.62
	64	17.29	.76	.86	.60	7.61	.62	7.13	6.84	.63	3.67
	65	17.04	.77	.82	.61	7.70	.81	7.26	4.68	.64	3.71
	66	16.61	.79	.77	.63	7.80	1.02	7.37	4.63	.64	3.73
	67	15.94	.81	.72	.65	9.33	1.23	7.45	4.57	.63	3.74
	68	15.03	.83	.68	.67	9.94	1.44	7.51	4.52	.61	3.74
	69	13.83	.86	.63	.69	10.54	1.65	7.54	4.47	.59	3.73
	70	12.34	.88	.59	.72	11.10	3.70	7.55	4.43	.26	3.70
	71	10.66	.91	.55	1.55	11.63	3.89	7.54	4.37	.30	3.66
	72	5.69	.94	.52	1.75	12.10	4.07	7.51	4.32	.34	3.60
	73	5.80	1.39	.49	1.69	12.51	4.24	7.60	4.27	.38	3.54
	74	5.87	1.41	.46	1.57	12.87	4.40	7.58	4.21	.42	3.46
	75	5.90	1.42	1.60	1.40	13.17	4.54	7.54	4.15	.70	3.38
	76	5.87	1.43	1.64	1.19	13.41	4.66	7.47	4.08	.76	3.29
	77	5.81	1.43	1.70	.97	13.59	4.78	7.39	4.01	.83	3.19
	78	5.69	1.42	1.75	.75	13.71	4.87	7.27	3.93	.90	3.09
	79	5.52	1.41	1.80	1.89	13.76	4.95	7.14	3.85	.97	2.98
